Fecha_Descarga,CDD,ADDON,Sop.,Instal.,Recolecciones
2021-06-01,2071,1719,2611,5672,3573
2021-06-02,2132,1889,2636,6013,3801
2021-06-03,2068,1838,2599,6330,3920
2021-06-04,2051,1864,2762,6610,3940
2021-06-05,2046,1890,2892,6770,4000
2021-06-06,1883,1633,2634,5946,3957
2021-06-07,1650,1422,2338,5098,3950
2021-06-08,1734,1592,2910,5576,3753
2021-06-09,1831,1694,2961,6039,3847
2021-06-10,1877,1782,2759,5977,3765
2021-06-11,1935,1776,2780,6134,3766
2021-06-12,2020,1765,2494,6335,3864
2021-06-13,1884,1545,2325,5664,4224
2021-06-14,1672,1423,2363,5210,3983
2021-06-15,1850,1696,2763,5969,3869
2021-06-16,1972,1802,2907,6271,4195
2021-06-17,2031,1852,2958,6390,4288
2021-06-18,2114,1716,2994,6454,4262
2021-06-19,2170,1673,2885,6459,4224
2021-06-20,1967,1497,2682,5529,4186
2021-06-21,1779,1325,2460,4857,4058
2021-06-22,1977,1534,2909,5529,3859
2021-06-23,2095,1524,2986,6031,4026
2021-06-24,2231,1676,2821,6601,4171
2021-06-25,2365,1748,2868,7027,4437
2021-06-26,2529,1713,3174,7182,4486
2021-06-27,2473,1649,3101,6626,4708
2021-06-28,2283,1452,2909,6018,4647
2021-06-29,2518,1643,3552,6820,4368
2021-06-30,2704,1717,3906,7140,4382
2021-07-01,3045,1982,4401,6702,4770
2021-07-02,3156,2182,4472,6658,5089
2021-07-03,3165,2206,4751,6901,5159
2021-07-04,3018,2040,4395,5933,5254
2021-07-05,2734,1867,4263,5074,5182
2021-07-06,2793,2334,4582,5486,4867
2021-07-07,2806,2423,4476,5799,4710
2021-07-08,2818,2449,4252,6179,4532
2021-07-09,2873,2470,4044,6342,4595
2021-07-10,2909,2358,3892,6668,4696
2021-07-11,2780,2256,3412,6042,4680
2021-07-12,2544,1936,3098,5293,4648
2021-07-13,2488,2014,3683,5907,4336
2021-07-14,2456,2059,3632,6472,4438
2021-07-15,2467,2116,3818,6961,4637
2021-07-16,2583,2233,3701,6970,4767
2021-07-17,2652,2284,3754,6851,5034
