Fecha,Soportes,Addon,CDD
2021-08-16,438,1751,1660
2021-08-17,465,1768,1666
2021-08-18,539,1743,1576
2021-08-19,519,1649,1444
2021-08-20,548,680,579
2021-08-21,570,693,581
2021-08-22,610,723,603
2021-08-23,630,746,629
2021-08-24,618,786,611
2021-08-25,579,826,629
2021-08-26,593,809,632
2021-08-27,681,820,649
2021-08-28,914,860,715
2021-08-30,492,973,804
2021-08-31,464,985,873
2021-09-01,460,1092,958
2021-09-02,387,1138,985
2021-09-03,405,1209,1005
2021-09-04,452,1339,1095
2021-09-05,482,1510,1231
2021-09-06,475,1649,1352
2021-09-07,482,1653,1318
2021-09-08,483,1705,1282
2021-09-09,476,1679,1181
2021-09-10,428,1622,1093
2021-09-11,480,1684,1065
2021-09-12,470,1649,1047
2021-09-13,457,1702,1038
2021-09-14,417,1709,970
2021-09-15,362,1691,936
2021-09-16,318,1619,915
2021-09-17,244,1621,941
2021-09-18,244,1655,954
2021-09-19,736,5742,2791
2021-09-20,169,5593,2709
2021-09-21,398,5380,2651
2021-09-22,282,5165,2584
2021-09-23,216,4786,2208
2021-09-24,221,4715,2167
2021-09-25,251,4733,2077
2021-09-26,257,4697,2028
2021-09-27,343,4667,1985
2021-09-28,334,4374,1824
2021-09-29,316,4140,1721
2021-09-30,289,3986,1617
2021-10-01,324,4149,1939
2021-10-02,360,4316,2065
2021-10-03,345,4428,2080
2021-10-04,399,4526,2109
2021-10-05,327,4233,2038
2021-10-06,255,3961,1784
2021-10-07,223,3626,1440
2021-10-08,193,3501,1299
2021-10-09,198,3499,1266
2021-10-10,180,3570,1150
2021-10-11,235,3584,1117
2021-10-12,232,3135,971
2021-10-13,234,2406,916
2021-10-14,188,2169,820
2021-10-15,173,2177,864
2021-10-16,166,2425,976
2021-10-17,174,2609,1035
2021-10-18,240,3367,1052
2021-10-19,217,3322,943
2021-10-20,184,2765,847
2021-10-21,172,2421,756
2021-10-22,136,2387,828
2021-10-23,161,2402,842
2021-10-24,150,2416,773
2021-10-25,170,2491,802
2021-10-26,146,2345,753
2021-10-27,127,2147,722
2021-10-28,116,1876,651
2021-10-29,128,2050,804
2021-10-30,116,2108,936
2021-10-31,185,2201,923
2021-11-01,193,2313,938
2021-11-02,191,2234,874
2021-11-03,166,2073,786
2021-11-04,115,1757,655
2021-11-05,115,1574,647
2021-11-06,93,1375,634
2021-11-07,144,1307,573
2021-11-08,172,1271,565
2021-11-09,137,1028,493
2021-11-10,127,910,441
2021-11-11,100,857,426
2021-11-12,109,1022,545
2021-11-13,134,1124,602
2021-11-14,165,1216,610
2021-11-15,193,1370,643
2021-11-16,212,1537,680
2021-11-17,169,1641,699
2021-11-18,141,1783,717
2021-11-19,133,2145,827
2021-11-20,178,2491,897
2021-11-21,190,2771,931
2021-11-22,220,3031,986
2021-11-23,169,2778,880
2021-11-24,157,2477,813
2021-11-25,115,2105,682
2021-11-26,116,1923,783
2021-11-27,134,1823,813
2021-11-28,146,1796,765
2021-11-29,180,1827,805
2021-11-30,164,1756,771
2021-12-01,151,1848,813
2021-12-02,158,1838,731
2021-12-03,169,2051,840
2021-12-04,200,2133,913
2021-12-05,228,2179,893
2021-12-06,291,2302,939
2021-12-07,267,2221,801
2021-12-08,241,2068,719
2021-12-09,201,1908,651
2021-12-10,204,1915,738
2021-12-11,212,1933,722
2021-12-12,209,1920,641
2021-12-13,218,1948,685
2021-12-14,184,1773,600
2021-12-15,164,1573,546
2021-12-16,140,1461,502
2021-12-17,160,1629,614
2021-12-18,196,1801,681
2021-12-19,220,1920,733
2021-12-20,329,1984,753
2021-12-21,311,1953,669
2021-12-22,288,1905,572
2021-12-23,250,1452,471
2021-12-24,254,1506,504
2021-12-25,239,1553,565
2021-12-26,275,1685,668
2021-12-27,295,1573,637
2021-12-28,191,1188,440
2021-12-29,131,799,320
2021-12-30,108,685,267
2021-12-31,142,696,334
2022-01-01,166,778,405
2022-01-02,257,929,569
2022-01-03,309,986,677
2022-01-04,320,821,556
2022-01-05,205,590,403
2022-01-06,202,573,363
2022-01-07,247,707,514
2022-01-08,278,844,613
2022-01-09,303,965,681
2022-01-10,343,1115,785
2022-01-11,347,1129,703
2022-01-12,341,1129,647
2022-01-13,245,1063,594
2022-01-14,230,1075,651
2022-01-15,215,1164,732
2022-01-16,248,1269,822
2022-01-17,279,1506,943
2022-01-18,283,1610,974
2022-01-19,231,1485,907
2022-01-20,224,1316,792
2022-01-21,205,1404,885
2022-01-22,220,1453,951
2022-01-23,260,1507,948
2022-01-24,246,1653,1045
2022-01-25,212,1594,938
2022-01-26,203,1524,915
2022-01-27,160,1411,840
2022-01-28,170,1434,984
2022-01-29,167,1428,1121
2022-01-30,162,1444,1142
2022-01-31,200,1651,1254
2022-02-01,201,1683,1224
2022-02-02,185,1569,1169
2022-02-03,128,1405,1031
2022-02-04,145,1375,1088
