DIRECCION,Fecha_Descarga,CDD,ADDON,Soportes,Instalaciones,Recolecciones
CENTRO-SUR,01/06/2021,979,754,900,2774,901
CENTRO-SUR,02/06/2021,999,833,823,2813,1021
CENTRO-SUR,03/06/2021,918,781,847,2871,1075
CENTRO-SUR,04/06/2021,857,746,858,2862,1037
CENTRO-SUR,05/06/2021,819,756,898,2855,1060
CENTRO-SUR,06/06/2021,694,621,724,2536,1027
CENTRO-SUR,07/06/2021,503,450,623,2315,1017
CENTRO-SUR,08/06/2021,558,515,739,2590,858
CENTRO-SUR,09/06/2021,628,562,829,2750,843
CENTRO-SUR,10/06/2021,655,600,770,2798,747
CENTRO-SUR,11/06/2021,709,566,765,2913,741
CENTRO-SUR,12/06/2021,741,588,709,3090,788
CENTRO-SUR,13/06/2021,666,457,634,2806,1009
CENTRO-SUR,14/06/2021,560,396,650,2710,850
CENTRO-SUR,15/06/2021,669,567,811,3006,846
CENTRO-SUR,16/06/2021,761,637,792,3185,955
CENTRO-SUR,17/06/2021,763,700,806,3139,1043
CENTRO-SUR,18/06/2021,801,611,800,3137,991
CENTRO-SUR,19/06/2021,844,563,839,3149,1027
CENTRO-SUR,20/06/2021,702,455,758,2759,1009
CENTRO-SUR,21/06/2021,582,353,647,2523,887
CENTRO-SUR,22/06/2021,705,493,811,2851,743
CENTRO-SUR,23/06/2021,811,445,850,3102,847
CENTRO-SUR,24/06/2021,920,624,813,3328,1010
CENTRO-SUR,25/06/2021,1017,648,833,3553,1136
CENTRO-SUR,26/06/2021,1084,588,789,3585,1161
CENTRO-SUR,27/06/2021,1003,536,718,3331,1299
CENTRO-SUR,28/06/2021,863,394,612,3091,1223
CENTRO-SUR,29/06/2021,972,508,798,3367,1009
CENTRO-SUR,30/06/2021,1054,561,841,3612,1162
CENTRO-SUR,01/07/2021,1264,687,1120,3336,1391
CENTRO-SUR,02/07/2021,1305,825,988,3198,1564
CENTRO-SUR,03/07/2021,1269,810,1169,3262,1580
CENTRO-SUR,04/07/2021,1099,732,978,2784,1647
CENTRO-SUR,05/07/2021,843,586,901,2434,1556
CENTRO-SUR,06/07/2021,886,897,1128,2623,1344
CENTRO-SUR,07/07/2021,924,946,1121,2745,1258
CENTRO-SUR,08/07/2021,971,973,1057,2997,1237
CENTRO-SUR,09/07/2021,1022,944,934,3013,1262
CENTRO-SUR,10/07/2021,1051,812,821,3162,1357
CENTRO-SUR,11/07/2021,965,771,709,2922,1345
CENTRO-SUR,12/07/2021,823,580,595,2629,1254
CENTRO-SUR,13/07/2021,834,624,826,2880,1092
CENTRO-SUR,14/07/2021,889,638,785,3061,1192
CENTRO-SUR,15/07/2021,896,645,781,3454,1332
CENTRO-SUR,16/07/2021,1008,737,770,3363,1374
CENTRO-SUR,17/07/2021,1037,804,830,3263,1478
CENTRO-SUR,18/07/2021,933,734,693,2868,1445
CENTRO-SUR,19/07/2021,745,597,689,2565,1396
CENTRO-SUR,20/07/2021,813,696,917,2898,1181
CENTRO-SUR,21/07/2021,910,789,940,2860,1303
CENTRO-SUR,22/07/2021,965,819,832,3006,1352
CENTRO-SUR,23/07/2021,1004,897,795,3166,1373
CENTRO-SUR,24/07/2021,1011,1000,874,3165,1412
CENTRO-SUR,25/07/2021,948,958,799,2965,1542
CENTRO-SUR,26/07/2021,780,707,649,2738,1439
CENTRO-SUR,27/07/2021,929,843,853,3009,1285
CENTRO-SUR,28/07/2021,1110,899,811,3246,1455
CENTRO-SUR,29/07/2021,1246,1014,725,3429,1393
CENTRO-SUR,30/07/2021,1448,1359,1013,3604,1448
CENTRO-SUR,31/07/2021,1679,1597,1076,3697,1545
CENTRO-SUR,01/08/2021,1786,1697,1043,2889,1727
