fecha_apertura,Cliente Reagenda,CONFIRMACION DE VISITA,INCUMPLIMIENTO FUERA DE TIEMPO,Splitter
08/15/2021,86,893,359,37
08/16/2021,167,1408,699,70
08/17/2021,179,1508,726,80
08/18/2021,190,1611,855,85
08/19/2021,186,1603,759,81
08/20/2021,229,1683,838,79
08/21/2021,175,1657,756,61
08/22/2021,138,1368,698,44
08/23/2021,219,1731,872,68
08/24/2021,232,1629,877,71
08/25/2021,273,1927,971,71
08/26/2021,247,2068,957,69
08/27/2021,206,1941,982,72
08/28/2021,171,1965,881,56
08/29/2021,115,1387,698,42
08/30/2021,208,1869,1120,78
08/31/2021,238,2125,1010,70
09/01/2021,207,2332,1302,68
09/02/2021,242,2471,1402,65
09/03/2021,261,2474,1479,70
09/04/2021,216,2503,1331,58
09/05/2021,130,1756,1003,31
09/06/2021,234,2560,1660,67
09/07/2021,189,2378,1457,62
09/08/2021,262,2866,1697,64
09/09/2021,276,2666,1667,64
09/10/2021,248,2296,1580,57
09/11/2021,224,2167,1253,67
09/12/2021,111,1476,870,48
09/13/2021,226,1941,1434,87
09/14/2021,196,1870,1282,60
09/15/2021,150,1611,988,56
09/16/2021,258,2504,1144,86
09/17/2021,172,1482,892,53
09/18/2021,148,1404,742,72
09/19/2021,98,1103,583,42
09/20/2021,171,1366,849,69
09/21/2021,155,1439,833,90
09/22/2021,153,1384,722,59
09/23/2021,153,1321,748,63
09/24/2021,168,1296,653,69
09/25/2021,164,1272,656,43
09/26/2021,90,819,445,28
09/27/2021,137,1186,767,77
09/28/2021,139,1277,754,75
09/29/2021,135,1158,599,74
09/30/2021,141,1218,639,51
10/01/2021,174,1328,693,70
10/02/2021,156,1411,716,50
10/03/2021,107,1064,546,43
10/04/2021,162,1097,731,85
10/05/2021,141,1147,636,83
10/06/2021,166,1266,582,71
10/07/2021,157,1214,526,62
10/08/2021,185,1108,546,58
10/09/2021,122,1033,450,45
10/10/2021,86,778,296,27
10/11/2021,125,1011,474,86
10/12/2021,146,1158,440,60
10/13/2021,135,1143,481,57
10/14/2021,139,1079,418,56
10/15/2021,132,1047,423,55
10/16/2021,129,1170,427,38
10/17/2021,98,797,327,27
10/18/2021,133,1022,500,76
10/19/2021,163,1110,493,58
10/20/2021,162,1214,480,76
10/21/2021,155,1067,428,81
10/22/2021,177,1056,425,78
10/23/2021,124,1000,368,48
10/24/2021,83,648,258,32
10/25/2021,138,913,347,51
10/26/2021,157,1057,382,65
10/27/2021,167,1024,351,54
10/28/2021,156,1114,370,52
10/29/2021,178,1087,423,50
10/30/2021,176,1119,491,43
10/31/2021,112,853,348,39
11/01/2021,165,968,436,65
11/02/2021,129,892,381,45
11/03/2021,133,889,371,57
11/04/2021,157,821,330,69
11/05/2021,138,875,321,59
11/06/2021,123,806,301,42
11/07/2021,66,552,188,33
11/08/2021,142,698,282,68
11/09/2021,125,794,246,58
11/10/2021,132,862,287,56
11/11/2021,163,950,346,41
11/12/2021,196,936,324,45
11/13/2021,173,1036,348,37
11/14/2021,105,753,297,27
11/15/2021,178,879,408,46
11/16/2021,190,1143,493,51
11/17/2021,195,1403,700,34
11/18/2021,234,1285,693,34
11/19/2021,195,1106,495,38
11/20/2021,152,1056,432,36
11/21/2021,93,746,298,22
11/22/2021,145,969,408,56
11/23/2021,181,944,352,28
11/24/2021,178,904,387,27
11/25/2021,150,1015,347,34
11/26/2021,153,892,339,43
11/27/2021,138,972,339,29
11/28/2021,113,741,303,25
11/29/2021,147,947,450,37
11/30/2021,144,1159,511,40
12/01/2021,191,1280,521,46
12/02/2021,176,1281,621,38
12/03/2021,197,1152,628,46
12/04/2021,175,1129,527,48
12/05/2021,136,770,385,28
12/06/2021,175,1011,537,46
12/07/2021,139,979,476,58
12/08/2021,172,948,455,49
12/09/2021,131,852,453,45
12/10/2021,156,833,416,38
12/11/2021,163,749,324,38
12/12/2021,89,501,232,28
12/13/2021,132,706,343,39
12/14/2021,138,674,332,43
12/15/2021,132,833,408,37
12/16/2021,139,874,336,46
12/17/2021,123,989,420,30
12/18/2021,139,942,385,39
12/19/2021,96,629,289,28
12/20/2021,131,885,423,45
12/21/2021,142,974,411,41
12/22/2021,163,1014,403,57
12/23/2021,140,1132,438,38
12/24/2021,112,720,226,22
12/25/2021,54,351,113,19
12/26/2021,81,436,140,24
12/27/2021,114,704,239,56
12/28/2021,148,759,283,22
12/29/2021,120,820,327,31
12/30/2021,123,902,392,34
12/31/2021,84,764,240,30
01/01/2022,53,476,216,6
01/02/2022,62,629,293,33
01/03/2022,124,1041,493,44
01/04/2022,150,1036,458,47
01/05/2022,114,837,420,32
01/06/2022,149,1070,471,43
01/07/2022,147,1077,483,54
01/08/2022,164,1116,513,42
01/09/2022,100,875,411,23
01/10/2022,157,1013,623,62
01/11/2022,156,1045,594,64
01/12/2022,181,1163,544,40
01/13/2022,155,1083,472,46
01/14/2022,163,1104,462,42
01/15/2022,141,1146,460,45
01/16/2022,93,944,429,26
01/17/2022,148,1226,550,65
01/18/2022,181,1344,524,47
01/19/2022,154,1320,509,45
01/20/2022,154,1267,487,49
01/21/2022,148,1134,408,45
01/22/2022,164,1171,394,42
01/23/2022,98,798,271,30
01/24/2022,128,964,406,61
01/25/2022,131,1034,371,49
01/26/2022,156,1019,321,45
01/27/2022,168,994,282,49
01/28/2022,144,881,344,52
01/29/2022,113,1051,351,36
01/30/2022,102,772,318,25
01/31/2022,144,1202,505,50
02/01/2022,153,1076,431,50
