DIRECCION,DISTRITO,Instalaciones,Addon,CDD,Soportes,Recolecciones
CENTRO-SUR,NUEVA CONDESA,142,61,83,51,44
CENTRO-SUR,CANCUN,166,44,45,43,50
CENTRO-SUR,SANTA FE,82,91,44,22,84
CENTRO-SUR,TLALPAN,63,81,63,29,56
CENTRO-SUR,XOCHIMILCO,97,59,48,29,47
CENTRO-SUR,TULTITLAN,79,71,32,37,61
CENTRO-SUR,TULTEPEC,68,22,36,67,68
CENTRO-SUR,COACALCO,64,60,31,37,67
CENTRO-SUR,POLANCO,121,49,48,16,21
CENTRO-SUR,GUADALUPE TEPEYAC,63,56,24,50,34
CENTRO-SUR,PUE LA NORIA,64,54,31,15,63
CENTRO-SUR,TOL SAN CARLOS,45,43,29,63,43
CENTRO-SUR,LAS AGUILAS,65,42,40,28,44
CENTRO-SUR,VERACRUZ,86,38,30,23,31
CENTRO-SUR,PUE ANGELOPOLIS,103,22,31,8,41
CENTRO-SUR,CHALCO,180,9,7,4,4
CENTRO-SUR,ARAGON,77,23,19,29,53
CENTRO-SUR,TUXTLA,74,28,30,6,43
CENTRO-SUR,AEROPUERTO,42,55,24,27,29
CENTRO-SUR,ECATEPEC,58,33,7,30,48
NORTE-NORESTE,JUAREZ NORTE,327,369,167,196,407
NORTE-NORESTE,JUAREZ SUR,203,101,69,66,269
NORTE-NORESTE,TIJ TECATE,315,82,33,125,54
NORTE-NORESTE,REYNOSA,510,1,NA,2,NA
NORTE-NORESTE,MTY CARRETERA NACIONAL,219,33,42,53,32
NORTE-NORESTE,SAN LUIS POTOSI ORIENTE,166,22,27,61,35
NORTE-NORESTE,SAN LUIS POTOSI PONIENTE,117,37,24,55,37
NORTE-NORESTE,TIJ FRONTERA,86,30,44,74,32
NORTE-NORESTE,TAMPICO,209,12,6,15,1
NORTE-NORESTE,MTY SENDERO DIVISORIO,89,22,39,51,33
NORTE-NORESTE,MTY SANTA LUCIA,108,26,7,43,17
NORTE-NORESTE,TIJ PLAYAS,79,32,30,25,33
NORTE-NORESTE,MTY MITRAS,106,6,18,55,8
NORTE-NORESTE,SALTILLO,108,13,15,28,22
NORTE-NORESTE,MTY CERRO DE LA SILLA,84,13,15,40,19
NORTE-NORESTE,MEXICALI,74,22,14,13,44
NORTE-NORESTE,TIJ RIO,66,11,31,44,7
NORTE-NORESTE,HERMOSILLO,73,15,16,11,10
NORTE-NORESTE,MTY SIERRA MADRE,46,13,17,25,6
NORTE-NORESTE,CHIHUAHUA DEL RELIZ,51,17,8,13,7
OCCIDENTE-BAJIO,GDL LOPEZ MATEOS,78,128,66,262,132
OCCIDENTE-BAJIO,GDL LA PRIMAVERA,56,111,103,204,174
OCCIDENTE-BAJIO,GDL LAZARO CARDENAS,109,42,62,297,98
OCCIDENTE-BAJIO,GDL COLOMOS,104,47,49,68,88
OCCIDENTE-BAJIO,QUERETARO,115,40,27,20,96
OCCIDENTE-BAJIO,GDL ESTADIO,41,19,21,46,71
OCCIDENTE-BAJIO,CERRO GORDO,89,32,30,15,31
OCCIDENTE-BAJIO,DELTA,52,41,33,26,31
OCCIDENTE-BAJIO,GDL CHAPULTEPEC,31,46,32,53,15
OCCIDENTE-BAJIO,AGUASCALIENTES,49,24,16,29,32
OCCIDENTE-BAJIO,GDL BARRANCA,49,4,12,28,53
OCCIDENTE-BAJIO,GDL EL TAPATIO,55,3,9,30,35
OCCIDENTE-BAJIO,TEPIC,118,1,2,NA,NA
OCCIDENTE-BAJIO,CELAYA,30,30,9,10,30
OCCIDENTE-BAJIO,GUANAJUATO,54,15,13,5,17
OCCIDENTE-BAJIO,IRAPUATO,39,14,14,3,24
OCCIDENTE-BAJIO,MORELIA,17,12,14,13,14
OCCIDENTE-BAJIO,PUERTO VALLARTA,32,6,7,11,7
OCCIDENTE-BAJIO,COLIMA / MANZANILLO,47,2,NA,1,NA
