DIRECCION,PLAZA,Instalaciones,Addon,CDD,Soportes,Recolecciones
CENTRO-SUR,CIUDAD DE MEXICO,2219,1053,705,543,1083
CENTRO-SUR,TOLUCA,135,41,36,58,120
CENTRO-SUR,CANCUN,112,48,44,29,91
CENTRO-SUR,PUEBLA,142,34,37,28,68
CENTRO-SUR,CUERNAVACA,86,34,25,14,116
CENTRO-SUR,VERACRUZ,48,32,25,33,33
CENTRO-SUR,TUXTLA,69,15,18,6,56
CENTRO-SUR,MERIDA,30,20,6,19,55
CENTRO-SUR,PACHUCA,55,18,14,12,17
CENTRO-SUR,XALAPA,38,12,12,5,12
NORTE-NORESTE,CIUDAD JUAREZ,654,496,284,166,711
NORTE-NORESTE,MONTERREY,522,85,101,242,106
NORTE-NORESTE,TIJUANA,396,174,111,154,116
NORTE-NORESTE,SAN LUIS POTOSI,356,78,67,89,281
NORTE-NORESTE,TAMPICO,396,9,5,14,3
NORTE-NORESTE,SALTILLO,135,48,36,44,37
NORTE-NORESTE,MEXICALI,136,8,7,4,18
NORTE-NORESTE,CHIHUAHUA,69,16,12,39,32
NORTE-NORESTE,CULIACAN,94,19,3,5,17
NORTE-NORESTE,TORREON,74,9,9,19,18
OCCIDENTE-BAJIO,GUADALAJARA,504,417,291,930,612
OCCIDENTE-BAJIO,LEON,121,72,36,25,60
OCCIDENTE-BAJIO,QUERETARO,97,24,17,20,60
OCCIDENTE-BAJIO,AGUASCALIENTES,58,27,17,20,39
OCCIDENTE-BAJIO,TEPIC,143,NA,1,2,NA
OCCIDENTE-BAJIO,CELAYA,40,22,12,5,52
OCCIDENTE-BAJIO,PUERTO VALLARTA,26,7,14,15,20
OCCIDENTE-BAJIO,COLIMA / MANZANILLO,71,NA,1,2,NA
OCCIDENTE-BAJIO,IRAPUATO,32,10,11,1,19
OCCIDENTE-BAJIO,GUANAJUATO,39,13,6,7,4
