DISTRITO,Instalaciones,Addon,CDD,Soportes,Recolecciones
JUAREZ NORTE,348,478,52,312,439
JUAREZ SUR,143,62,37,59,232
REYNOSA,420,0,0,14,0
GDL LA PRIMAVERA,24,73,72,61,174
TIJ TECATE,257,33,18,59,5
GDL LAZARO CARDENAS,85,54,31,118,74
GDL LOPEZ MATEOS,34,77,19,125,92
NUEVA CONDESA,66,42,42,36,29
VERACRUZ,114,13,19,32,35
SANTA FE,77,19,29,21,43
TIJ FRONTERA,66,8,28,75,12
MTY MITRAS,114,4,11,31,14
CUERNAVACA BUGAMBILIAS,135,11,7,5,11
MTY CARRETERA NACIONAL,129,4,11,21,3
CANCUN,72,15,17,22,41
GUADALUPE TEPEYAC,65,37,22,16,27
GDL COLOMOS,56,12,20,44,31
TULTITLAN,33,19,18,34,50
CONSTITUCION,61,34,19,13,25
ARAGON,71,14,7,15,44
