DIRECCION,DISTRITO,Cliente Reagenda,CONFIRMACION DE VISITA,INCUMPLIMIENTO FUERA DE TIEMPO,Splitter,% incump. sobre total agendado
NACIONAL,ACAPULCO,0,1,0,0,NA
NACIONAL,AGUASCALIENTES,1,6,0,0,NA
NACIONAL,CANCUN,4,4,0,0,NA
NACIONAL,COACALCO,0,6,0,0,NA
NACIONAL,TECAMAC,0,7,1,0,NA
NACIONAL,ECATEPEC,0,7,2,0,NA
NACIONAL,ARAGON,0,6,2,0,NA
NACIONAL,AEROPUERTO,4,5,2,0,NA
NACIONAL,IZTAPALAPA,2,3,0,0,NA
NACIONAL,NEZA 1,2,17,1,0,NA
NACIONAL,NEZA 2,0,4,1,0,NA
NACIONAL,SANTA FE,1,14,5,0,NA
NACIONAL,NUEVA CONDESA,5,7,0,0,NA
NACIONAL,CENTRO HISTORICO,1,4,0,0,NA
NACIONAL,PORTALES,1,5,1,1,NA
NACIONAL,LAS AGUILAS,0,2,1,0,NA
NACIONAL,PEDREGAL,4,1,1,0,NA
NACIONAL,TLALPAN,2,8,1,1,NA
NACIONAL,XOCHIMILCO,2,10,2,0,NA
NACIONAL,GUADALUPE TEPEYAC,1,3,2,0,NA
CENTRO,COACALCO,0,6,0,0,NA
CENTRO,TECAMAC,0,7,1,0,NA
CENTRO,ECATEPEC,0,7,2,0,NA
CENTRO,ARAGON,0,6,2,0,NA
CENTRO,AEROPUERTO,4,5,2,0,NA
CENTRO,IZTAPALAPA,2,3,0,0,NA
CENTRO,NEZA 1,2,17,1,0,NA
CENTRO,NEZA 2,0,4,1,0,NA
CENTRO,SANTA FE,1,14,5,0,NA
CENTRO,NUEVA CONDESA,5,7,0,0,NA
CENTRO,CENTRO HISTORICO,1,4,0,0,NA
CENTRO,PORTALES,1,5,1,1,NA
CENTRO,LAS AGUILAS,0,2,1,0,NA
CENTRO,PEDREGAL,4,1,1,0,NA
CENTRO,TLALPAN,2,8,1,1,NA
NORTE-NORESTE,CHIHUAHUA DEL RELIZ,0,4,0,0,NA
NORTE-NORESTE,CHIHUAHUA CUMBRES,0,3,3,0,NA
NORTE-NORESTE,JUAREZ NORTE,4,75,59,3,NA
NORTE-NORESTE,JUAREZ SUR,0,9,1,0,NA
NORTE-NORESTE,CIUDAD OBREGON / NAVOJOA,NA,NA,NA,NA,NA
NORTE-NORESTE,CIUDAD VICTORIA,0,2,0,0,NA
NORTE-NORESTE,CULIACAN,0,1,0,0,NA
NORTE-NORESTE,LOS MOCHIS,0,3,0,0,NA
NORTE-NORESTE,HERMOSILLO,0,3,0,0,NA
NORTE-NORESTE,LA LAGUNA GOMEZ,1,2,0,0,NA
NORTE-NORESTE,LA LAGUNA TORREON,1,4,0,0,NA
NORTE-NORESTE,MATAMOROS,NA,NA,NA,NA,NA
NORTE-NORESTE,MAZATLAN,0,1,0,0,NA
NORTE-NORESTE,MEXICALI,0,1,0,0,NA
NORTE-NORESTE,MTY MITRAS,1,9,1,0,NA
OCCIDENTE-BAJIO,AGUASCALIENTES,1,6,0,0,NA
OCCIDENTE-BAJIO,CELAYA,1,1,2,0,NA
OCCIDENTE-BAJIO,COLIMA / MANZANILLO,1,0,0,0,NA
OCCIDENTE-BAJIO,GDL BARRANCA,3,6,1,0,NA
OCCIDENTE-BAJIO,GDL CHAPULTEPEC,2,17,1,0,NA
OCCIDENTE-BAJIO,GDL COLOMOS,2,16,3,1,NA
OCCIDENTE-BAJIO,GDL ESTADIO,0,5,0,0,NA
OCCIDENTE-BAJIO,GDL LA PRIMAVERA,3,15,4,5,NA
OCCIDENTE-BAJIO,GDL LAZARO CARDENAS,5,22,0,1,NA
OCCIDENTE-BAJIO,GDL LOPEZ MATEOS,2,22,3,6,NA
OCCIDENTE-BAJIO,GDL EL TAPATIO,1,4,0,0,NA
OCCIDENTE-BAJIO,GUANAJUATO,0,3,0,0,NA
OCCIDENTE-BAJIO,IRAPUATO,0,2,1,0,NA
OCCIDENTE-BAJIO,CERRO GORDO,1,6,2,0,NA
OCCIDENTE-BAJIO,DELTA,2,11,5,2,NA
ORIENTE-SUR,ACAPULCO,0,1,0,0,NA
ORIENTE-SUR,CANCUN,4,4,0,0,NA
ORIENTE-SUR,COATZA / MINA,0,2,0,0,NA
ORIENTE-SUR,CORDOBA / ORIZABA,0,3,0,0,NA
ORIENTE-SUR,CUERNAVACA DE CORTEZ,0,8,0,0,NA
ORIENTE-SUR,CUERNAVACA BUGAMBILIAS,0,2,0,0,NA
ORIENTE-SUR,MERIDA SUR,2,11,1,0,NA
ORIENTE-SUR,MERIDA NORTE,1,5,1,0,NA
ORIENTE-SUR,PACHUCA,0,5,2,0,NA
ORIENTE-SUR,POZA RICA,NA,NA,NA,NA,NA
ORIENTE-SUR,PUE ANGELOPOLIS,0,2,0,0,NA
ORIENTE-SUR,PUE LORETO,1,2,0,0,NA
ORIENTE-SUR,PUE LA NORIA,2,2,0,0,NA
ORIENTE-SUR,TUXTLA,1,5,1,0,NA
ORIENTE-SUR,VERACRUZ,0,4,0,0,NA
