Nivel,NOMBRE,Year,SEMANA_REGISTRO,Enviados,Asistencia,Year_Semana
DIRECCION,CENTRO,2022,19,6,1,2022-19
DIRECCION,CENTRO,2022,20,11,0,2022-20
DIRECCION,NORTE-NORESTE,2022,19,0,0,2022-19
DIRECCION,NORTE-NORESTE,2022,20,3,0,2022-20
DIRECCION,OCCIDENTE-BAJIO,2022,19,0,0,2022-19
DIRECCION,OCCIDENTE-BAJIO,2022,20,2,0,2022-20
DIRECCION,ORIENTE-SUR,2022,19,5,1,2022-19
DIRECCION,ORIENTE-SUR,2022,20,10,2,2022-20
DISTRITO,ACAPULCO,2022,19,0,0,2022-19
DISTRITO,ACAPULCO,2022,20,0,0,2022-20
DISTRITO,AEROPUERTO,2022,19,0,0,2022-19
DISTRITO,AEROPUERTO,2022,20,1,0,2022-20
DISTRITO,AGUASCALIENTES,2022,19,0,0,2022-19
DISTRITO,AGUASCALIENTES,2022,20,0,0,2022-20
DISTRITO,ARAGON,2022,19,0,0,2022-19
DISTRITO,ARAGON,2022,20,1,0,2022-20
DISTRITO,AZCAPOTZALCO,2022,19,1,0,2022-19
DISTRITO,AZCAPOTZALCO,2022,20,1,0,2022-20
DISTRITO,CANCUN,2022,19,0,0,2022-19
DISTRITO,CANCUN,2022,20,0,0,2022-20
DISTRITO,CELAYA,2022,20,0,0,2022-20
DISTRITO,CENTRO HISTORICO,2022,20,0,0,2022-20
DISTRITO,CERRO GORDO,2022,19,0,0,2022-19
DISTRITO,CERRO GORDO,2022,20,0,0,2022-20
DISTRITO,CHALCO,2022,19,0,0,2022-19
DISTRITO,CHALCO,2022,20,0,0,2022-20
DISTRITO,CHIHUAHUA CUMBRES,2022,19,0,0,2022-19
DISTRITO,CHIHUAHUA CUMBRES,2022,20,0,0,2022-20
DISTRITO,CHIHUAHUA DEL RELIZ,2022,19,0,0,2022-19
DISTRITO,CIUDAD OBREGON / NAVOJOA,2022,19,0,0,2022-19
DISTRITO,CIUDAD OBREGON / NAVOJOA,2022,20,0,0,2022-20
DISTRITO,CIUDAD VICTORIA,2022,19,0,0,2022-19
DISTRITO,CIUDAD VICTORIA,2022,20,0,0,2022-20
DISTRITO,COACALCO,2022,19,0,0,2022-19
DISTRITO,COACALCO,2022,20,0,0,2022-20
DISTRITO,COATZA / MINA,2022,19,0,0,2022-19
DISTRITO,COATZA / MINA,2022,20,0,0,2022-20
DISTRITO,COLIMA / MANZANILLO,2022,19,0,0,2022-19
DISTRITO,CONDESA,2022,20,0,0,2022-20
DISTRITO,CONSTITUCION,2022,19,0,0,2022-19
DISTRITO,CONSTITUCION,2022,20,2,0,2022-20
DISTRITO,CORDOBA / ORIZABA,2022,19,0,0,2022-19
DISTRITO,CORDOBA / ORIZABA,2022,20,2,0,2022-20
DISTRITO,CUERNAVACA BUGAMBILIAS,2022,19,0,0,2022-19
DISTRITO,CUERNAVACA BUGAMBILIAS,2022,20,0,0,2022-20
DISTRITO,CUERNAVACA DE CORTEZ,2022,19,0,0,2022-19
DISTRITO,CUERNAVACA DE CORTEZ,2022,20,0,0,2022-20
DISTRITO,CULIACAN,2022,19,0,0,2022-19
DISTRITO,CULIACAN,2022,20,0,0,2022-20
DISTRITO,DELTA,2022,19,0,0,2022-19
DISTRITO,DELTA,2022,20,0,0,2022-20
DISTRITO,ECATEPEC,2022,19,0,0,2022-19
DISTRITO,ECATEPEC,2022,20,0,0,2022-20
DISTRITO,GDL BARRANCA,2022,19,0,0,2022-19
DISTRITO,GDL BARRANCA,2022,20,0,0,2022-20
DISTRITO,GDL CHAPULTEPEC,2022,19,0,0,2022-19
DISTRITO,GDL CHAPULTEPEC,2022,20,0,0,2022-20
