Nivel,NOMBRE,Year,SEMANA_REGISTRO,80-20,Actividades multiples,Armado de conectores Prepulidos,Armado de conectores RJ45,Como subir tu venta en FFM,Consumo de Materiales,De Técnico a experto en Servicio a Domicilio,Entrega de Servicios,Justificación de Materiales,Plan de Vida y Carrera,Proceso de instalación,Proceso de Instalación (Enfoque a Calidad),Productividad,Reincidencias y revisión de herramientas (impartido 06 de junio 2022),"Trayectoría, alturas y Flejados",Trayectorías,Venta Técnico,Ventas,Year_Semana
NACIONAL,NACIONAL,2022,19,1,0,4,0,0,0,1,1,0,0,1,1,1,0,1,0,0,0,2022-19
NACIONAL,NACIONAL,2022,20,0,0,5,1,0,0,0,0,0,1,2,2,2,0,3,1,9,0,2022-20
NACIONAL,NACIONAL,2022,21,0,0,4,1,1,1,0,0,2,0,3,1,0,0,0,1,4,1,2022-21
NACIONAL,NACIONAL,2022,22,0,0,6,1,0,0,0,0,0,0,2,5,6,0,1,1,5,0,2022-22
NACIONAL,NACIONAL,2022,23,0,2,4,0,0,1,0,0,0,0,3,3,0,0,2,0,11,0,2022-23
NACIONAL,NACIONAL,2022,24,0,0,0,0,0,2,0,1,0,1,1,2,0,1,0,0,6,0,2022-24
NACIONAL,NACIONAL,2022,25,0,1,11,0,0,2,7,2,1,1,3,6,2,0,3,1,9,0,2022-25
DIRECCION,CENTRO,2022,19,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,2022-19
DIRECCION,ORIENTE-SUR,2022,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2022-19
DIRECCION,CENTRO,2022,20,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,7,0,2022-20
DIRECCION,NORTE-NORESTE,2022,20,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,2022-20
DIRECCION,OCCIDENTE-BAJIO,2022,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2022-20
DIRECCION,ORIENTE-SUR,2022,20,0,0,4,1,0,0,0,0,0,0,1,1,1,0,2,0,0,0,2022-20
DIRECCION,CENTRO,2022,21,0,0,1,0,1,1,0,0,2,0,1,0,0,0,0,1,3,1,2022-21
DIRECCION,NORTE-NORESTE,2022,21,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,2022-21
DIRECCION,OCCIDENTE-BAJIO,2022,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-21
DIRECCION,ORIENTE-SUR,2022,21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-21
DIRECCION,CENTRO,2022,22,0,0,3,1,0,0,0,0,0,0,0,5,4,0,1,1,4,0,2022-22
DIRECCION,NORTE-NORESTE,2022,22,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2022-22
DIRECCION,OCCIDENTE-BAJIO,2022,22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,2022-22
DIRECCION,ORIENTE-SUR,2022,22,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,2022-22
DIRECCION,CENTRO,2022,23,0,1,1,0,0,1,0,0,0,0,1,3,0,0,2,0,4,0,2022-23
DIRECCION,NORTE-NORESTE,2022,23,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,3,0,2022-23
DIRECCION,OCCIDENTE-BAJIO,2022,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2022-23
DIRECCION,ORIENTE-SUR,2022,23,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2022-23
DIRECCION,CENTRO,2022,24,0,0,0,0,0,2,0,1,0,1,0,1,0,1,0,0,4,0,2022-24
