Nivel,NOMBRE,Year,SEMANA_REGISTRO,Calidad,Venta técnico,Productividad,Consumo de materiales,Positiva,Tarjetas,Year_Semana,TarjetasTotales
NACIONAL,NACIONAL,2022,19,87,89,109,10,374,10,2022-19,117
NACIONAL,NACIONAL,2022,20,128,116,131,14,417,29,2022-20,105
NACIONAL,NACIONAL,2022,21,124,118,172,12,515,19,2022-21,85
NACIONAL,NACIONAL,2022,22,142,126,170,23,560,18,2022-22,90
NACIONAL,NACIONAL,2022,23,144,152,175,27,626,25,2022-23,85
NACIONAL,NACIONAL,2022,24,50,50,40,7,144,6,2022-24,190
NACIONAL,NACIONAL,2022,25,168,152,188,18,658,43,2022-25,115
NACIONAL,NACIONAL,2022,26,51,44,63,8,172,9,2022-26,163
NACIONAL,NACIONAL,2022,27,132,139,183,24,586,31,2022-27,151
NACIONAL,NACIONAL,2022,28,71,62,72,13,273,10,2022-28,215
NACIONAL,NACIONAL,2022,29,117,101,141,33,500,34,2022-29,198
NACIONAL,NACIONAL,2022,30,75,79,87,16,381,20,2022-30,0
NACIONAL,NACIONAL,2022,31,112,62,121,19,507,35,2022-31,164
NACIONAL,NACIONAL,2022,32,92,77,114,15,447,17,2022-32,157
NACIONAL,NACIONAL,2022,33,68,95,128,14,484,23,2022-33,169
NACIONAL,NACIONAL,2022,34,96,89,114,12,519,29,2022-34,186
NACIONAL,NACIONAL,2022,35,73,72,114,15,539,26,2022-35,192
NACIONAL,NACIONAL,2022,36,95,66,105,24,502,25,2022-36,201
NACIONAL,NACIONAL,2022,37,82,70,86,19,513,26,2022-37,161
NACIONAL,NACIONAL,2022,38,81,95,106,13,501,24,2022-38,139
NACIONAL,NACIONAL,2022,39,65,93,98,21,518,20,2022-39,137
NACIONAL,NACIONAL,2022,40,79,100,127,10,524,18,2022-40,111
DIRECCION,CENTRO,2022,19,27,35,48,2,176,1,2022-19,28
DIRECCION,NORTE-NORESTE,2022,19,16,18,31,4,69,1,2022-19,55
DIRECCION,OCCIDENTE-BAJIO,2022,19,6,13,15,0,44,4,2022-19,27
DIRECCION,ORIENTE-SUR,2022,19,38,23,15,4,85,4,2022-19,6
DIRECCION,CENTRO,2022,20,59,66,54,2,182,11,2022-20,33
