Tipo,DIRECCION,Year,Semana,Amarilla,Naranja,Morada,Roja,TR,YearSemana
NACIONAL,NACIONAL,2022,12,113,0,0,0,376,2022-12
NACIONAL,NACIONAL,2022,13,113,0,0,0,400,2022-13
NACIONAL,NACIONAL,2022,14,95,0,0,0,401,2022-14
NACIONAL,NACIONAL,2022,15,76,9,0,0,306,2022-15
NACIONAL,NACIONAL,2022,16,96,8,0,0,411,2022-16
NACIONAL,NACIONAL,2022,17,103,10,0,0,410,2022-17
NACIONAL,NACIONAL,2022,18,110,5,2,0,440,2022-18
NACIONAL,NACIONAL,2022,19,95,8,2,0,386,2022-19
NACIONAL,NACIONAL,2022,20,76,9,0,0,360,2022-20
NACIONAL,NACIONAL,2022,21,80,9,0,1,341,2022-21
NACIONAL,NACIONAL,2022,22,77,6,2,0,292,2022-22
NACIONAL,NACIONAL,2022,23,187,3,0,0,696,2022-23
NACIONAL,NACIONAL,2022,24,112,3,0,0,447,2022-24
NACIONAL,NACIONAL,2022,25,153,9,1,0,612,2022-25
NACIONAL,NACIONAL,2022,26,141,9,1,0,589,2022-26
NACIONAL,NACIONAL,2022,27,206,9,0,0,849,2022-27
NACIONAL,NACIONAL,2022,28,179,13,6,0,802,2022-28
NACIONAL,NACIONAL,2022,30,156,8,0,0,410,2022-30
NACIONAL,NACIONAL,2022,31,141,15,1,0,402,2022-31
NACIONAL,NACIONAL,2022,32,155,12,1,1,439,2022-32
NACIONAL,NACIONAL,2022,33,171,14,1,0,466,2022-33
NACIONAL,NACIONAL,2022,34,182,8,2,0,474,2022-34
NACIONAL,NACIONAL,2022,35,188,10,2,1,513,2022-35
NACIONAL,NACIONAL,2022,36,142,18,0,1,422,2022-36
NACIONAL,NACIONAL,2022,37,124,13,2,0,360,2022-37
NACIONAL,NACIONAL,2022,38,125,11,1,0,331,2022-38
NACIONAL,NACIONAL,2022,39,104,6,1,0,279,2022-39
NACIONAL,NACIONAL,2022,40,149,11,0,0,392,2022-40
NACIONAL,NACIONAL,2022,41,143,10,2,1,392,2022-41
NACIONAL,NACIONAL,2022,42,122,3,1,0,327,2022-42
NACIONAL,NACIONAL,2022,43,146,6,2,0,397,2022-43
NACIONAL,NACIONAL,2022,44,159,4,1,0,389,2022-44
NACIONAL,NACIONAL,2022,45,178,3,0,0,467,2022-45
NACIONAL,NACIONAL,2022,46,150,5,0,1,407,2022-46
NACIONAL,NACIONAL,2022,47,176,11,1,0,449,2022-47
DIRECCION,CENTRO,2022,12,14,0,0,0,42,2022-12
DIRECCION,CENTRO,2022,13,24,0,0,0,74,2022-13
DIRECCION,CENTRO,2022,14,11,0,0,0,37,2022-14
DIRECCION,CENTRO,2022,15,12,0,0,0,38,2022-15
DIRECCION,CENTRO,2022,16,11,0,0,0,34,2022-16
DIRECCION,CENTRO,2022,17,19,0,0,0,60,2022-17
DIRECCION,CENTRO,2022,18,28,1,0,0,102,2022-18
DIRECCION,CENTRO,2022,19,34,0,0,0,113,2022-19
DIRECCION,CENTRO,2022,20,20,3,0,0,80,2022-20
DIRECCION,CENTRO,2022,21,21,4,0,0,91,2022-21
DIRECCION,CENTRO,2022,22,13,0,0,0,42,2022-22
DIRECCION,CENTRO,2022,23,38,0,0,0,123,2022-23
DIRECCION,CENTRO,2022,24,31,0,0,0,105,2022-24
DIRECCION,CENTRO,2022,25,51,2,0,0,190,2022-25
DIRECCION,CENTRO,2022,26,35,2,0,0,132,2022-26
DIRECCION,CENTRO,2022,27,47,1,0,0,174,2022-27
DIRECCION,CENTRO,2022,28,35,3,1,0,143,2022-28
DIRECCION,CENTRO,2022,30,45,0,0,0,104,2022-30
DIRECCION,CENTRO,2022,31,20,1,0,0,46,2022-31
DIRECCION,CENTRO,2022,32,28,2,1,0,70,2022-32
DIRECCION,CENTRO,2022,33,36,1,0,0,84,2022-33
DIRECCION,CENTRO,2022,34,40,1,0,0,98,2022-34
DIRECCION,CENTRO,2022,35,46,0,0,0,108,2022-35
DIRECCION,CENTRO,2022,36,25,0,0,0,72,2022-36
DIRECCION,CENTRO,2022,37,25,0,0,0,61,2022-37
DIRECCION,CENTRO,2022,38,27,0,0,0,61,2022-38
DIRECCION,CENTRO,2022,39,26,1,0,0,57,2022-39
DIRECCION,CENTRO,2022,40,25,3,0,0,68,2022-40
DIRECCION,CENTRO,2022,41,19,0,0,0,46,2022-41
DIRECCION,CENTRO,2022,42,18,0,0,0,40,2022-42
DIRECCION,CENTRO,2022,43,34,0,0,0,82,2022-43
DIRECCION,CENTRO,2022,44,28,0,0,0,66,2022-44
DIRECCION,CENTRO,2022,45,42,0,0,0,108,2022-45
DIRECCION,CENTRO,2022,46,43,1,0,0,107,2022-46
DIRECCION,CENTRO,2022,47,43,0,0,0,96,2022-47
DIRECCION,NORTE-NORESTE,2022,12,53,0,0,0,176,2022-12
DIRECCION,NORTE-NORESTE,2022,13,45,0,0,0,163,2022-13
DIRECCION,NORTE-NORESTE,2022,14,43,0,0,0,207,2022-14
DIRECCION,NORTE-NORESTE,2022,15,36,8,0,0,166,2022-15
DIRECCION,NORTE-NORESTE,2022,16,45,7,0,0,218,2022-16
DIRECCION,NORTE-NORESTE,2022,17,34,7,0,0,172,2022-17
DIRECCION,NORTE-NORESTE,2022,18,50,3,2,0,217,2022-18
DIRECCION,NORTE-NORESTE,2022,19,30,6,1,0,147,2022-19
DIRECCION,NORTE-NORESTE,2022,20,26,1,0,0,128,2022-20
DIRECCION,NORTE-NORESTE,2022,21,24,3,0,0,114,2022-21
DIRECCION,NORTE-NORESTE,2022,22,23,3,2,0,92,2022-22
DIRECCION,NORTE-NORESTE,2022,23,69,3,0,0,263,2022-23
DIRECCION,NORTE-NORESTE,2022,24,38,0,0,0,158,2022-24
DIRECCION,NORTE-NORESTE,2022,25,41,2,0,0,192,2022-25
DIRECCION,NORTE-NORESTE,2022,26,40,2,1,0,189,2022-26
DIRECCION,NORTE-NORESTE,2022,27,71,3,0,0,283,2022-27
DIRECCION,NORTE-NORESTE,2022,28,56,4,1,0,256,2022-28
DIRECCION,NORTE-NORESTE,2022,30,37,2,0,0,98,2022-30
DIRECCION,NORTE-NORESTE,2022,31,53,5,0,0,151,2022-31
DIRECCION,NORTE-NORESTE,2022,32,50,4,0,0,138,2022-32
DIRECCION,NORTE-NORESTE,2022,33,62,3,0,0,161,2022-33
DIRECCION,NORTE-NORESTE,2022,34,57,4,2,0,147,2022-34
DIRECCION,NORTE-NORESTE,2022,35,76,2,2,0,206,2022-35
DIRECCION,NORTE-NORESTE,2022,36,52,8,0,0,155,2022-36
DIRECCION,NORTE-NORESTE,2022,37,53,2,1,0,147,2022-37
DIRECCION,NORTE-NORESTE,2022,38,43,6,0,0,126,2022-38
DIRECCION,NORTE-NORESTE,2022,39,26,4,0,0,78,2022-39
DIRECCION,NORTE-NORESTE,2022,40,62,2,0,0,152,2022-40
DIRECCION,NORTE-NORESTE,2022,41,48,4,1,0,141,2022-41
DIRECCION,NORTE-NORESTE,2022,42,47,2,1,0,139,2022-42
DIRECCION,NORTE-NORESTE,2022,43,53,4,0,0,155,2022-43
DIRECCION,NORTE-NORESTE,2022,44,61,3,1,0,162,2022-44
DIRECCION,NORTE-NORESTE,2022,45,68,2,0,0,180,2022-45
DIRECCION,NORTE-NORESTE,2022,46,48,2,0,0,144,2022-46
DIRECCION,NORTE-NORESTE,2022,47,69,6,1,0,191,2022-47
DIRECCION,OCCIDENTE-BAJIO,2022,12,38,0,0,0,132,2022-12
DIRECCION,OCCIDENTE-BAJIO,2022,13,37,0,0,0,142,2022-13
DIRECCION,OCCIDENTE-BAJIO,2022,14,33,0,0,0,128,2022-14
DIRECCION,OCCIDENTE-BAJIO,2022,15,23,1,0,0,87,2022-15
DIRECCION,OCCIDENTE-BAJIO,2022,16,33,1,0,0,134,2022-16
DIRECCION,OCCIDENTE-BAJIO,2022,17,37,3,0,0,137,2022-17
DIRECCION,OCCIDENTE-BAJIO,2022,18,25,1,0,0,96,2022-18
DIRECCION,OCCIDENTE-BAJIO,2022,19,26,2,1,0,106,2022-19
DIRECCION,OCCIDENTE-BAJIO,2022,20,26,3,0,0,131,2022-20
DIRECCION,OCCIDENTE-BAJIO,2022,21,32,2,0,0,127,2022-21
DIRECCION,OCCIDENTE-BAJIO,2022,22,34,3,0,0,136,2022-22
DIRECCION,OCCIDENTE-BAJIO,2022,23,69,0,0,0,272,2022-23
DIRECCION,OCCIDENTE-BAJIO,2022,24,42,3,0,0,178,2022-24
DIRECCION,OCCIDENTE-BAJIO,2022,25,53,4,1,0,203,2022-25
DIRECCION,OCCIDENTE-BAJIO,2022,26,57,5,0,0,240,2022-26
DIRECCION,OCCIDENTE-BAJIO,2022,27,86,5,0,0,378,2022-27
DIRECCION,OCCIDENTE-BAJIO,2022,28,75,6,4,0,360,2022-28
DIRECCION,OCCIDENTE-BAJIO,2022,30,68,6,0,0,194,2022-30
DIRECCION,OCCIDENTE-BAJIO,2022,31,63,9,1,0,194,2022-31
DIRECCION,OCCIDENTE-BAJIO,2022,32,62,6,0,0,195,2022-32
DIRECCION,OCCIDENTE-BAJIO,2022,33,67,10,1,0,204,2022-33
DIRECCION,OCCIDENTE-BAJIO,2022,34,74,3,0,0,204,2022-34
DIRECCION,OCCIDENTE-BAJIO,2022,35,59,8,0,0,175,2022-35
DIRECCION,OCCIDENTE-BAJIO,2022,36,59,10,0,0,178,2022-36
DIRECCION,OCCIDENTE-BAJIO,2022,37,41,11,1,0,136,2022-37
DIRECCION,OCCIDENTE-BAJIO,2022,38,46,5,1,0,126,2022-38
DIRECCION,OCCIDENTE-BAJIO,2022,39,36,1,1,0,107,2022-39
DIRECCION,OCCIDENTE-BAJIO,2022,40,54,5,0,0,154,2022-40
DIRECCION,OCCIDENTE-BAJIO,2022,41,63,6,1,0,173,2022-41
DIRECCION,OCCIDENTE-BAJIO,2022,42,47,1,0,0,126,2022-42
