Tipo,DIRECCION,A�O,Semana,�rdenes completas Soportes,Ticket Repetido,PorcentajeTR,A�oSemana
NACIONAL,NACIONAL,2022,1,3924,30353,0.129278819,2022-01
NACIONAL,NACIONAL,2022,2,3519,29673,0.11859266,2022-02
NACIONAL,NACIONAL,2022,3,3857,30934,0.124684813,2022-03
NACIONAL,NACIONAL,2022,4,3805,31162,0.122103844,2022-04
NACIONAL,NACIONAL,2022,5,3725,30403,0.122520804,2022-05
NACIONAL,NACIONAL,2022,6,3701,30692,0.120585169,2022-06
NACIONAL,NACIONAL,2022,7,3712,33013,0.112440554,2022-07
NACIONAL,NACIONAL,2022,8,3542,32482,0.10904501,2022-08
NACIONAL,NACIONAL,2022,9,3548,31870,0.111327267,2022-09
NACIONAL,NACIONAL,2022,10,3414,32472,0.105136733,2022-10
NACIONAL,NACIONAL,2022,11,3538,32138,0.110087747,2022-11
NACIONAL,NACIONAL,2022,12,3426,31072,0.110260041,2022-12
NACIONAL,NACIONAL,2022,13,3527,31219,0.112976072,2022-13
NACIONAL,NACIONAL,2022,14,3875,32752,0.118313385,2022-14
NACIONAL,NACIONAL,2022,15,3644,30687,0.118747352,2022-15
NACIONAL,NACIONAL,2022,16,4163,35498,0.117274213,2022-16
NACIONAL,NACIONAL,2022,17,4037,34968,0.11544841,2022-17
NACIONAL,NACIONAL,2022,18,3834,33899,0.113100681,2022-18
NACIONAL,NACIONAL,2022,19,3157,30163,0.104664655,2022-19
NACIONAL,NACIONAL,2022,20,3935,35435,0.111048398,2022-20
NACIONAL,NACIONAL,2022,21,4410,37556,0.117424646,2022-21
NACIONAL,NACIONAL,2022,22,4577,36993,0.12372611,2022-22
NACIONAL,NACIONAL,2022,23,4684,38546,0.121517148,2022-23
NACIONAL,NACIONAL,2022,24,4739,38230,0.123960241,2022-24
NACIONAL,NACIONAL,2022,25,4585,38109,0.120312787,2022-25
NACIONAL,NACIONAL,2022,26,4536,38602,0.117506865,2022-26
NACIONAL,NACIONAL,2022,27,4923,38525,0.127787151,2022-27
NACIONAL,NACIONAL,2022,28,4717,38952,0.121097761,2022-28
NACIONAL,NACIONAL,2022,29,4412,38156,0.115630569,2022-29
NACIONAL,NACIONAL,2022,30,4762,38152,0.124816523,2022-30
NACIONAL,NACIONAL,2022,31,4703,37995,0.123779445,2022-31
NACIONAL,NACIONAL,2022,32,4660,37969,0.122731702,2022-32
NACIONAL,NACIONAL,2022,33,5014,39717,0.12624317,2022-33
NACIONAL,NACIONAL,2022,34,4808,38995,0.123297859,2022-34
NACIONAL,NACIONAL,2022,35,4895,38167,0.128252155,2022-35
NACIONAL,NACIONAL,2022,36,4751,38648,0.122930035,2022-36
NACIONAL,NACIONAL,2022,37,4549,33860,0.134347312,2022-37
NACIONAL,NACIONAL,2022,38,4504,35938,0.125326952,2022-38
NACIONAL,NACIONAL,2022,39,4117,33492,0.122924878,2022-39
NACIONAL,NACIONAL,2022,40,4288,35416,0.12107522,2022-40
NACIONAL,NACIONAL,2022,41,4083,34921,0.11692105,2022-41
NACIONAL,NACIONAL,2022,42,3910,34183,0.114384343,2022-42
NACIONAL,NACIONAL,2022,43,3973,32788,0.12117238,2022-43
NACIONAL,NACIONAL,2022,44,3573,30790,0.11604417,2022-44
NACIONAL,NACIONAL,2022,45,3742,33574,0.111455293,2022-45
DIRECCION,CENTRO,2022,1,1013,9878,0.102551124,2022-01
DIRECCION,CENTRO,2022,2,896,10003,0.089573128,2022-02
DIRECCION,CENTRO,2022,3,1023,10437,0.098016671,2022-03
DIRECCION,CENTRO,2022,4,1027,10662,0.096323391,2022-04
DIRECCION,CENTRO,2022,5,964,10438,0.092354857,2022-05
DIRECCION,CENTRO,2022,6,1053,10467,0.100601892,2022-06
DIRECCION,CENTRO,2022,7,1011,11097,0.091105704,2022-07
DIRECCION,CENTRO,2022,8,923,11120,0.083003597,2022-08
DIRECCION,CENTRO,2022,9,917,10721,0.085533066,2022-09
DIRECCION,CENTRO,2022,10,886,10931,0.081053883,2022-10
DIRECCION,CENTRO,2022,11,1022,11391,0.089719954,2022-11
DIRECCION,CENTRO,2022,12,914,10324,0.088531577,2022-12
DIRECCION,CENTRO,2022,13,918,10253,0.08953477,2022-13
DIRECCION,CENTRO,2022,14,1020,10890,0.093663912,2022-14
DIRECCION,CENTRO,2022,15,989,10461,0.094541631,2022-15
DIRECCION,CENTRO,2022,16,1163,12412,0.093699646,2022-16
DIRECCION,CENTRO,2022,17,1139,11952,0.095297858,2022-17
DIRECCION,CENTRO,2022,18,1093,12320,0.088717532,2022-18
DIRECCION,CENTRO,2022,19,872,10393,0.083902627,2022-19
DIRECCION,CENTRO,2022,20,1114,12014,0.092725154,2022-20
DIRECCION,CENTRO,2022,21,1359,13243,0.102620252,2022-21
DIRECCION,CENTRO,2022,22,1209,12024,0.100548902,2022-22
DIRECCION,CENTRO,2022,23,1223,12758,0.09586142,2022-23
