Cosecha,AñoSemana,Amarilla,Naranja,Morada,Roja
TecSem1,2022-14,1,0,0,0
TecSem1,2022-15,1,0,0,0
TecSem1,2022-16,1,0,0,0
TecSem1,2022-18,1,0,0,0
TecSem1,2022-19,1,0,0,0
TecSem1,2022-20,1,0,0,0
TecSem1,2022-21,2,0,0,0
TecSem1,2022-22,1,0,0,0
TecSem1,2022-24,3,0,0,0
TecSem1,2022-25,2,0,0,0
TecSem1,2022-26,3,0,0,0
TecSem1,2022-27,2,1,0,0
TecSem1,2022-28,3,0,0,0
TecSem1,2022-29,7,0,0,0
TecSem1,2022-30,2,0,0,0
TecSem1,2022-31,1,0,0,0
TecSem1,2022-32,4,2,0,0
TecSem1,2022-34,2,0,0,0
TecSem1,2022-35,4,1,0,0
TecSem1,2022-36,6,0,0,0
TecSem1,2022-37,4,0,0,0
TecSem1,2022-38,2,0,1,0
TecSem1,2022-39,4,0,0,0
TecSem1,2022-40,3,1,0,0
TecSem1,2022-42,3,0,0,0
TecSem1,2022-43,3,0,0,0
TecSem1,2022-44,4,0,0,0
TecSem1,2022-45,6,0,0,0
TecSem1,2022-46,5,0,0,0
TecSem1,2022-47,3,1,0,0
TecSem1,2022-48,7,0,0,0
TecSem1,2022-49,4,0,0,0
TecSem1,2022-50,14,1,0,0
TecSem1,2023-1,0,128,1,0
TecSem14,2022-14,113,0,0,0
TecSem14,2022-17,0,9,0,0
TecSem14,2022-18,7,0,0,0
TecSem14,2022-19,4,0,0,0
TecSem14,2022-20,4,0,2,0
TecSem14,2022-21,3,1,0,0
TecSem14,2022-22,3,0,0,0
TecSem14,2022-23,5,0,0,1
TecSem14,2022-24,3,1,0,0
TecSem14,2022-25,5,0,0,0
TecSem14,2022-26,7,1,0,0
TecSem14,2022-27,2,0,0,0
TecSem14,2022-28,3,0,0,0
TecSem14,2022-29,5,1,0,0
TecSem15,2022-15,113,0,0,0
TecSem15,2022-18,0,8,0,0
TecSem15,2022-19,6,0,0,0
TecSem15,2022-20,6,0,0,0
TecSem15,2022-21,1,0,2,0
TecSem15,2022-22,7,1,0,0
TecSem15,2022-23,5,0,0,0
TecSem15,2022-24,3,1,0,0
TecSem15,2022-25,9,1,0,0
TecSem15,2022-26,2,0,0,0
TecSem15,2022-27,1,0,0,0
