Fecha,Distrito,Incumplimientos
01/11/2023,CONDESA,33
02/11/2023,CONDESA,21
03/11/2023,CONDESA,22
04/11/2023,CONDESA,10
05/11/2023,CONDESA,8
06/11/2023,CONDESA,17
07/11/2023,CONDESA,20
08/11/2023,CONDESA,20
09/11/2023,CONDESA,13
10/11/2023,CONDESA,18
11/11/2023,CONDESA,14
12/11/2023,CONDESA,9
13/11/2023,CONDESA,17
14/11/2023,CONDESA,15
15/11/2023,CONDESA,9
16/11/2023,CONDESA,16
17/11/2023,CONDESA,10
18/11/2023,CONDESA,23
19/11/2023,CONDESA,6
20/11/2023,CONDESA,9
21/11/2023,CONDESA,4
22/11/2023,CONDESA,11
23/11/2023,CONDESA,9
24/11/2023,CONDESA,10
25/11/2023,CONDESA,6
26/11/2023,CONDESA,10
27/11/2023,CONDESA,12
28/11/2023,CONDESA,15
29/11/2023,CONDESA,16
30/11/2023,CONDESA,19
01/12/2023,CONDESA,29
02/12/2023,CONDESA,19
03/12/2023,CONDESA,11
04/12/2023,CONDESA,19
05/12/2023,CONDESA,16
06/12/2023,CONDESA,4
07/12/2023,CONDESA,6
08/12/2023,CONDESA,14
09/12/2023,CONDESA,12
10/12/2023,CONDESA,16
11/12/2023,CONDESA,10
12/12/2023,CONDESA,21
13/12/2023,CONDESA,6
14/12/2023,CONDESA,10
15/12/2023,CONDESA,10
16/12/2023,CONDESA,21
17/12/2023,CONDESA,9
18/12/2023,CONDESA,10
19/12/2023,CONDESA,17
20/12/2023,CONDESA,12
21/12/2023,CONDESA,2
22/12/2023,CONDESA,5
23/12/2023,CONDESA,1
26/12/2023,CONDESA,5
27/12/2023,CONDESA,9
28/12/2023,CONDESA,9
29/12/2023,CONDESA,8
30/12/2023,CONDESA,3
02/01/2024,CONDESA,8
03/01/2024,CONDESA,4
04/01/2024,CONDESA,6
05/01/2024,CONDESA,6
06/01/2024,CONDESA,6
07/01/2024,CONDESA,0
08/01/2024,CONDESA,4
09/01/2024,CONDESA,13
10/01/2024,CONDESA,6
11/01/2024,CONDESA,13
12/01/2024,CONDESA,5
13/01/2024,CONDESA,10
14/01/2024,CONDESA,12
15/01/2024,CONDESA,13
16/01/2024,CONDESA,46
17/01/2024,CONDESA,29
18/01/2024,CONDESA,23
19/01/2024,CONDESA,20
20/01/2024,CONDESA,18
21/01/2024,CONDESA,15
22/01/2024,CONDESA,30
23/01/2024,CONDESA,23
24/01/2024,CONDESA,13
25/01/2024,CONDESA,19
26/01/2024,CONDESA,18
27/01/2024,CONDESA,9
28/01/2024,CONDESA,11
29/01/2024,CONDESA,19
30/01/2024,CONDESA,24
31/01/2024,CONDESA,32
01/02/2024,CONDESA,33
02/02/2024,CONDESA,37
03/02/2024,CONDESA,29
04/02/2024,CONDESA,28
05/02/2024,CONDESA,20
06/02/2024,CONDESA,37
07/02/2024,CONDESA,40
08/02/2024,CONDESA,30
09/02/2024,CONDESA,42
10/02/2024,CONDESA,19
11/02/2024,CONDESA,5
12/02/2024,CONDESA,31
13/02/2024,CONDESA,28
14/02/2024,CONDESA,34
15/02/2024,CONDESA,22
16/02/2024,CONDESA,31
17/02/2024,CONDESA,17
18/02/2024,CONDESA,13
19/02/2024,CONDESA,32
20/02/2024,CONDESA,44
21/02/2024,CONDESA,33
22/02/2024,CONDESA,22
23/02/2024,CONDESA,19
24/02/2024,CONDESA,26
25/02/2024,CONDESA,16
26/02/2024,CONDESA,42
27/02/2024,CONDESA,40
28/02/2024,CONDESA,13
29/02/2024,CONDESA,21
01/03/2024,CONDESA,31
02/03/2024,CONDESA,17
03/03/2024,CONDESA,21
04/03/2024,CONDESA,42
05/03/2024,CONDESA,27
06/03/2024,CONDESA,29
07/03/2024,CONDESA,12
08/03/2024,CONDESA,21
09/03/2024,CONDESA,12
10/03/2024,CONDESA,8
11/03/2024,CONDESA,24
12/03/2024,CONDESA,29
13/03/2024,CONDESA,14
14/03/2024,CONDESA,8
15/03/2024,CONDESA,12
16/03/2024,CONDESA,11
17/03/2024,CONDESA,4
18/03/2024,CONDESA,5
19/03/2024,CONDESA,13
20/03/2024,CONDESA,14
21/03/2024,CONDESA,15
22/03/2024,CONDESA,17
23/03/2024,CONDESA,8
24/03/2024,CONDESA,3
25/03/2024,CONDESA,7
26/03/2024,CONDESA,19
27/03/2024,CONDESA,4
28/03/2024,CONDESA,6
29/03/2024,CONDESA,7
30/03/2024,CONDESA,1
31/03/2024,CONDESA,2
01/04/2024,CONDESA,9
02/04/2024,CONDESA,12
03/04/2024,CONDESA,14
04/04/2024,CONDESA,12
05/04/2024,CONDESA,8
06/04/2024,CONDESA,6
07/04/2024,CONDESA,4
08/04/2024,CONDESA,7
09/04/2024,CONDESA,14
10/04/2024,CONDESA,11
11/04/2024,CONDESA,8
01/11/2023,LAS AGUILAS,10
02/11/2023,LAS AGUILAS,5
03/11/2023,LAS AGUILAS,10
04/11/2023,LAS AGUILAS,7
05/11/2023,LAS AGUILAS,11
06/11/2023,LAS AGUILAS,9
07/11/2023,LAS AGUILAS,11
08/11/2023,LAS AGUILAS,6
09/11/2023,LAS AGUILAS,4
10/11/2023,LAS AGUILAS,4
11/11/2023,LAS AGUILAS,12
12/11/2023,LAS AGUILAS,9
13/11/2023,LAS AGUILAS,10
14/11/2023,LAS AGUILAS,10
15/11/2023,LAS AGUILAS,11
16/11/2023,LAS AGUILAS,5
17/11/2023,LAS AGUILAS,6
18/11/2023,LAS AGUILAS,23
19/11/2023,LAS AGUILAS,19
20/11/2023,LAS AGUILAS,27
21/11/2023,LAS AGUILAS,33
22/11/2023,LAS AGUILAS,19
23/11/2023,LAS AGUILAS,10
24/11/2023,LAS AGUILAS,7
25/11/2023,LAS AGUILAS,10
26/11/2023,LAS AGUILAS,6
27/11/2023,LAS AGUILAS,8
28/11/2023,LAS AGUILAS,9
29/11/2023,LAS AGUILAS,7
30/11/2023,LAS AGUILAS,3
01/12/2023,LAS AGUILAS,1
02/12/2023,LAS AGUILAS,2
03/12/2023,LAS AGUILAS,11
04/12/2023,LAS AGUILAS,10
05/12/2023,LAS AGUILAS,15
06/12/2023,LAS AGUILAS,5
07/12/2023,LAS AGUILAS,9
08/12/2023,LAS AGUILAS,7
09/12/2023,LAS AGUILAS,4
10/12/2023,LAS AGUILAS,7
11/12/2023,LAS AGUILAS,2
12/12/2023,LAS AGUILAS,7
13/12/2023,LAS AGUILAS,4
14/12/2023,LAS AGUILAS,3
15/12/2023,LAS AGUILAS,0
16/12/2023,LAS AGUILAS,2
17/12/2023,LAS AGUILAS,6
18/12/2023,LAS AGUILAS,9
19/12/2023,LAS AGUILAS,5
20/12/2023,LAS AGUILAS,5
21/12/2023,LAS AGUILAS,4
22/12/2023,LAS AGUILAS,2
23/12/2023,LAS AGUILAS,2
26/12/2023,LAS AGUILAS,5
27/12/2023,LAS AGUILAS,3
28/12/2023,LAS AGUILAS,4
29/12/2023,LAS AGUILAS,0
30/12/2023,LAS AGUILAS,0
02/01/2024,LAS AGUILAS,8
03/01/2024,LAS AGUILAS,7
