Fecha,Distrito,Productividad,Cuadrillas firmadas,Ordenes Terminadas
01/11/2023,PEDREGAL,3.2,43,138
02/11/2023,PEDREGAL,2.8,40,113
03/11/2023,PEDREGAL,3.3,46,153
04/11/2023,PEDREGAL,3.6,40,143
05/11/2023,PEDREGAL,2.9,32,93
06/11/2023,PEDREGAL,3,41,121
07/11/2023,PEDREGAL,2.9,47,134
08/11/2023,PEDREGAL,3,52,158
09/11/2023,PEDREGAL,3.1,48,147
10/11/2023,PEDREGAL,3.2,40,126
11/11/2023,PEDREGAL,2.8,47,132
12/11/2023,PEDREGAL,3.2,43,137
13/11/2023,PEDREGAL,3.1,47,147
14/11/2023,PEDREGAL,3.1,45,140
15/11/2023,PEDREGAL,2.5,44,111
16/11/2023,PEDREGAL,2.8,48,135
17/11/2023,PEDREGAL,2.5,46,114
18/11/2023,PEDREGAL,2.9,45,129
19/11/2023,PEDREGAL,3.3,36,117
20/11/2023,PEDREGAL,2.7,23,61
21/11/2023,PEDREGAL,2.7,46,126
22/11/2023,PEDREGAL,2.5,54,135
23/11/2023,PEDREGAL,2.9,52,153
24/11/2023,PEDREGAL,2.9,56,163
25/11/2023,PEDREGAL,3,44,130
26/11/2023,PEDREGAL,3.1,36,110
27/11/2023,PEDREGAL,2.7,51,139
28/11/2023,PEDREGAL,3,46,137
29/11/2023,PEDREGAL,3,48,144
30/11/2023,PEDREGAL,3.1,48,148
01/12/2023,PEDREGAL,2.8,50,142
02/12/2023,PEDREGAL,2.9,47,136
03/12/2023,PEDREGAL,2.7,34,93
04/12/2023,PEDREGAL,2.8,46,131
05/12/2023,PEDREGAL,3.1,43,134
06/12/2023,PEDREGAL,3.3,43,141
07/12/2023,PEDREGAL,3.5,47,164
08/12/2023,PEDREGAL,2.9,48,141
09/12/2023,PEDREGAL,2.9,45,129
10/12/2023,PEDREGAL,3,35,105
11/12/2023,PEDREGAL,2.6,44,115
12/12/2023,PEDREGAL,2.8,47,131
13/12/2023,PEDREGAL,2.6,47,120
14/12/2023,PEDREGAL,2.8,48,133
15/12/2023,PEDREGAL,2.8,46,127
16/12/2023,PEDREGAL,2.4,45,110
17/12/2023,PEDREGAL,2.6,31,80
18/12/2023,PEDREGAL,3,44,132
19/12/2023,PEDREGAL,3,48,142
20/12/2023,PEDREGAL,3.2,44,140
21/12/2023,PEDREGAL,3.2,45,143
22/12/2023,PEDREGAL,3.5,41,142
23/12/2023,PEDREGAL,2.7,45,121
26/12/2023,PEDREGAL,3.2,42,136
27/12/2023,PEDREGAL,3.4,39,132
28/12/2023,PEDREGAL,3.2,47,152
29/12/2023,PEDREGAL,3.1,48,147
30/12/2023,PEDREGAL,2.7,51,137
02/01/2024,PEDREGAL,3.1,44,135
03/01/2024,PEDREGAL,3.3,48,157
04/01/2024,PEDREGAL,3.1,50,155
05/01/2024,PEDREGAL,2.9,48,140
06/01/2024,PEDREGAL,3.2,33,104
07/01/2024,PEDREGAL,2.8,26,73
08/01/2024,PEDREGAL,3.3,40,133
09/01/2024,PEDREGAL,2.4,44,107
10/01/2024,PEDREGAL,3.1,44,137
11/01/2024,PEDREGAL,3.2,42,136
12/01/2024,PEDREGAL,3.3,42,137
13/01/2024,PEDREGAL,3.2,43,138
14/01/2024,PEDREGAL,2.7,32,87
15/01/2024,PEDREGAL,3.1,45,139
16/01/2024,PEDREGAL,2.9,34,98
17/01/2024,PEDREGAL,3.2,42,135
18/01/2024,PEDREGAL,3.3,47,153
19/01/2024,PEDREGAL,3.1,43,134
20/01/2024,PEDREGAL,3.1,42,129
21/01/2024,PEDREGAL,3,28,85
22/01/2024,PEDREGAL,3.2,45,142
23/01/2024,PEDREGAL,3.1,44,137
24/01/2024,PEDREGAL,3,48,145
25/01/2024,PEDREGAL,2.9,47,137
26/01/2024,PEDREGAL,2.5,46,117
27/01/2024,PEDREGAL,2.7,44,120
28/01/2024,PEDREGAL,3,26,79
29/01/2024,PEDREGAL,2.9,42,122
30/01/2024,PEDREGAL,2.4,40,97
31/01/2024,PEDREGAL,3.1,46,144
01/02/2024,PEDREGAL,3.4,48,162
02/02/2024,PEDREGAL,3.5,44,153
03/02/2024,PEDREGAL,3.6,41,148
04/02/2024,PEDREGAL,3.6,34,121
05/02/2024,PEDREGAL,3.5,33,117
06/02/2024,PEDREGAL,3,41,125
07/02/2024,PEDREGAL,3.1,42,130
08/02/2024,PEDREGAL,3.4,44,151
09/02/2024,PEDREGAL,3.1,45,140
10/02/2024,PEDREGAL,3.5,44,155
11/02/2024,PEDREGAL,2.5,44,112
12/02/2024,PEDREGAL,2.5,42,105
13/02/2024,PEDREGAL,2.8,41,116
14/02/2024,PEDREGAL,3.3,46,153
15/02/2024,PEDREGAL,3.3,43,140
16/02/2024,PEDREGAL,3.3,39,128
17/02/2024,PEDREGAL,3.3,42,139
18/02/2024,PEDREGAL,3.3,36,118
19/02/2024,PEDREGAL,3.3,38,127
20/02/2024,PEDREGAL,3.1,41,127
21/02/2024,PEDREGAL,3.4,42,144
22/02/2024,PEDREGAL,3.1,42,131
23/02/2024,PEDREGAL,2.7,33,90
24/02/2024,PEDREGAL,3.5,31,107
25/02/2024,PEDREGAL,3,36,107
26/02/2024,PEDREGAL,3.3,40,132
27/02/2024,PEDREGAL,3.1,43,134
28/02/2024,PEDREGAL,3.1,44,136
29/02/2024,PEDREGAL,3.4,45,154
01/03/2024,PEDREGAL,3.263157895,38,124
02/03/2024,PEDREGAL,3.166666667,36,114
03/03/2024,PEDREGAL,3.161290323,31,98
04/03/2024,PEDREGAL,3.418604651,43,147
05/03/2024,PEDREGAL,3.093023256,43,133
01/11/2023,PORTALES,2.9,44,127
02/11/2023,PORTALES,3.7,44,161
03/11/2023,PORTALES,3.4,47,162
04/11/2023,PORTALES,2.9,52,152
05/11/2023,PORTALES,3.1,59,182
06/11/2023,PORTALES,3.4,55,188
07/11/2023,PORTALES,3.8,52,196
08/11/2023,PORTALES,3,64,192
09/11/2023,PORTALES,3.3,52,171
10/11/2023,PORTALES,3.3,49,163
11/11/2023,PORTALES,3.2,60,190
12/11/2023,PORTALES,3.5,45,156
13/11/2023,PORTALES,3.2,54,173
14/11/2023,PORTALES,3.1,56,175
15/11/2023,PORTALES,3,57,169
16/11/2023,PORTALES,3.1,58,177
17/11/2023,PORTALES,3.3,58,192
18/11/2023,PORTALES,3.2,52,168
19/11/2023,PORTALES,3.4,52,176
20/11/2023,PORTALES,3.4,56,193
21/11/2023,PORTALES,3.4,56,189
22/11/2023,PORTALES,3.3,65,213
23/11/2023,PORTALES,3.5,62,216
24/11/2023,PORTALES,3.3,61,200
25/11/2023,PORTALES,3.4,53,179
26/11/2023,PORTALES,3.3,50,164
27/11/2023,PORTALES,3.3,54,176
28/11/2023,PORTALES,3.2,59,187
29/11/2023,PORTALES,3.2,58,183
30/11/2023,PORTALES,3.7,57,210
01/12/2023,PORTALES,3.1,52,160
02/12/2023,PORTALES,3.7,48,179
03/12/2023,PORTALES,3.7,42,155
04/12/2023,PORTALES,3.7,50,186
05/12/2023,PORTALES,3.2,58,183
06/12/2023,PORTALES,3.3,57,187
07/12/2023,PORTALES,3.2,62,197
08/12/2023,PORTALES,3.1,61,192
09/12/2023,PORTALES,3.2,49,157
10/12/2023,PORTALES,2.9,54,158
11/12/2023,PORTALES,3.3,55,183
12/12/2023,PORTALES,3,57,171
13/12/2023,PORTALES,3.2,54,174
14/12/2023,PORTALES,3,50,150
15/12/2023,PORTALES,3.1,56,175
16/12/2023,PORTALES,3.2,50,162
17/12/2023,PORTALES,3.3,37,123
18/12/2023,PORTALES,3.2,48,154
19/12/2023,PORTALES,3.3,50,167
20/12/2023,PORTALES,2.9,50,146
21/12/2023,PORTALES,3.3,57,189
22/12/2023,PORTALES,2.9,43,125
23/12/2023,PORTALES,2.7,52,138
26/12/2023,PORTALES,3.34,50,167
27/12/2023,PORTALES,3.1,52,162
28/12/2023,PORTALES,3.2,54,172
29/12/2023,PORTALES,3.1,64,198
30/12/2023,PORTALES,3.1,57,175
02/01/2024,PORTALES,3.3,52,169
03/01/2024,PORTALES,3.5,53,188
04/01/2024,PORTALES,3.2,58,188
05/01/2024,PORTALES,3.2,53,172
06/01/2024,PORTALES,3.4,43,147
07/01/2024,PORTALES,3.1,53,162
08/01/2024,PORTALES,3.1,55,170
09/01/2024,PORTALES,3.4,52,175
10/01/2024,PORTALES,3.4,56,191
11/01/2024,PORTALES,3.4,58,197
12/01/2024,PORTALES,3.6,58,208
13/01/2024,PORTALES,3.4,63,214
14/01/2024,PORTALES,3.3,57,189
15/01/2024,PORTALES,3.2,57,185
16/01/2024,PORTALES,3.1,55,173
17/01/2024,PORTALES,3,54,163
18/01/2024,PORTALES,3.1,53,164
19/01/2024,PORTALES,3.4,57,192
20/01/2024,PORTALES,2.7,56,150
21/01/2024,PORTALES,2.8,51,141
22/01/2024,PORTALES,3.5,52,180
23/01/2024,PORTALES,3,61,182
24/01/2024,PORTALES,3.4,57,194
25/01/2024,PORTALES,3.4,53,181
26/01/2024,PORTALES,3.3,61,200
27/01/2024,PORTALES,3.1,60,186
28/01/2024,PORTALES,3.3,49,163
29/01/2024,PORTALES,3.6,53,192
30/01/2024,PORTALES,2.8,62,174
31/01/2024,PORTALES,3.1,57,175
01/02/2024,PORTALES,3.2,60,194
02/02/2024,PORTALES,3.1,51,157
03/02/2024,PORTALES,3.3,55,183
04/02/2024,PORTALES,2.7,52,140
05/02/2024,PORTALES,2.8,47,131
06/02/2024,PORTALES,3.2,64,205
07/02/2024,PORTALES,3.4,62,211
08/02/2024,PORTALES,3,60,182
09/02/2024,PORTALES,3.4,57,193
10/02/2024,PORTALES,3.2,58,186
11/02/2024,PORTALES,3,49,149
12/02/2024,PORTALES,3.1,52,163
13/02/2024,PORTALES,3.3,61,201
14/02/2024,PORTALES,3.3,60,200
15/02/2024,PORTALES,3.4,61,210
16/02/2024,PORTALES,3.1,56,174
17/02/2024,PORTALES,3.1,60,187
18/02/2024,PORTALES,3.1,55,168
19/02/2024,PORTALES,3.2,53,172
20/02/2024,PORTALES,3.1,50,157
21/02/2024,PORTALES,2.9,68,196
22/02/2024,PORTALES,3.1,58,182
23/02/2024,PORTALES,2.6,51,131
24/02/2024,PORTALES,3,50,149
25/02/2024,PORTALES,3.4,44,149
26/02/2024,PORTALES,3,61,185
27/02/2024,PORTALES,3.3,62,205
28/02/2024,PORTALES,3.1,66,202
29/02/2024,PORTALES,3.1,64,200
01/03/2024,PORTALES,2.948275862,58,171
02/03/2024,PORTALES,3,62,186
03/03/2024,PORTALES,3.092592593,54,167
04/03/2024,PORTALES,3.173076923,52,165
05/03/2024,PORTALES,3.298507463,67,221
01/11/2023,TLALPAN,3.3,41,134
02/11/2023,TLALPAN,3.2,38,120
03/11/2023,TLALPAN,3,41,124
04/11/2023,TLALPAN,3.2,42,135
05/11/2023,TLALPAN,2.6,40,105
06/11/2023,TLALPAN,3.1,41,129
07/11/2023,TLALPAN,3.4,42,142
08/11/2023,TLALPAN,2.4,50,121
09/11/2023,TLALPAN,2.6,45,117
10/11/2023,TLALPAN,2.9,47,137
11/11/2023,TLALPAN,3.3,44,143
12/11/2023,TLALPAN,3.2,38,120
13/11/2023,TLALPAN,3,42,126
14/11/2023,TLALPAN,3.6,38,135
15/11/2023,TLALPAN,2.9,48,137
16/11/2023,TLALPAN,3.1,52,161
17/11/2023,TLALPAN,3,41,124
18/11/2023,TLALPAN,3.3,43,140
19/11/2023,TLALPAN,2.8,45,128
20/11/2023,TLALPAN,3.6,16,58
21/11/2023,TLALPAN,3.1,51,156
22/11/2023,TLALPAN,2.7,54,147
23/11/2023,TLALPAN,3.4,52,178
24/11/2023,TLALPAN,2.6,56,147
25/11/2023,TLALPAN,3.2,48,152
26/11/2023,TLALPAN,2.7,44,118
27/11/2023,TLALPAN,3.1,52,162
28/11/2023,TLALPAN,2.6,56,147
29/11/2023,TLALPAN,2.6,57,146
30/11/2023,TLALPAN,3.1,54,167
01/12/2023,TLALPAN,2.9,50,146
02/12/2023,TLALPAN,3,45,135
03/12/2023,TLALPAN,3.2,45,143
04/12/2023,TLALPAN,3.2,45,146
05/12/2023,TLALPAN,3.1,47,147
06/12/2023,TLALPAN,2.8,47,131
07/12/2023,TLALPAN,2.8,47,130
08/12/2023,TLALPAN,3.2,43,138
09/12/2023,TLALPAN,2.9,42,123
10/12/2023,TLALPAN,2.7,42,113
11/12/2023,TLALPAN,2.6,50,131
12/12/2023,TLALPAN,2.7,41,111
13/12/2023,TLALPAN,2.3,46,108
14/12/2023,TLALPAN,2.5,46,116
15/12/2023,TLALPAN,2.4,50,122
16/12/2023,TLALPAN,2.8,44,125
17/12/2023,TLALPAN,2.3,41,94
18/12/2023,TLALPAN,3,53,160
19/12/2023,TLALPAN,2.9,51,147
20/12/2023,TLALPAN,2.7,48,130
21/12/2023,TLALPAN,2.8,50,139
22/12/2023,TLALPAN,2.4,50,121
23/12/2023,TLALPAN,2.2,46,103
26/12/2023,TLALPAN,3,51,152
27/12/2023,TLALPAN,2.8,51,141
28/12/2023,TLALPAN,3.1,48,150
29/12/2023,TLALPAN,3.1,50,153
30/12/2023,TLALPAN,2.5,44,110
02/01/2024,TLALPAN,3.4,41,138
03/01/2024,TLALPAN,3.3,45,147
04/01/2024,TLALPAN,3.3,48,156
05/01/2024,TLALPAN,2.8,51,144
06/01/2024,TLALPAN,3.1,34,106
07/01/2024,TLALPAN,2.7,44,119
08/01/2024,TLALPAN,2.8,48,136
09/01/2024,TLALPAN,3.4,46,155
10/01/2024,TLALPAN,3.3,42,137
11/01/2024,TLALPAN,3.7,44,161
12/01/2024,TLALPAN,3.7,38,140
13/01/2024,TLALPAN,3.7,31,115
14/01/2024,TLALPAN,3.2,30,96
15/01/2024,TLALPAN,2.9,42,121
16/01/2024,TLALPAN,2.6,37,98
17/01/2024,TLALPAN,3.2,40,127
18/01/2024,TLALPAN,3.8,41,156
19/01/2024,TLALPAN,2.8,41,116
20/01/2024,TLALPAN,3,35,104
21/01/2024,TLALPAN,2.5,26,65
22/01/2024,TLALPAN,3.3,43,142
23/01/2024,TLALPAN,3.3,43,140
24/01/2024,TLALPAN,2.8,47,131
25/01/2024,TLALPAN,3.2,47,152
26/01/2024,TLALPAN,3.5,45,158
27/01/2024,TLALPAN,3.5,40,139
28/01/2024,TLALPAN,3.3,29,96
29/01/2024,TLALPAN,3,43,131
30/01/2024,TLALPAN,2.6,39,102
31/01/2024,TLALPAN,3.1,38,118
01/02/2024,TLALPAN,3,36,108
02/02/2024,TLALPAN,3.2,40,128
03/02/2024,TLALPAN,3.4,35,118
04/02/2024,TLALPAN,3.2,31,100
05/02/2024,TLALPAN,3.7,31,115
06/02/2024,TLALPAN,3.6,36,130
07/02/2024,TLALPAN,3.3,39,130
08/02/2024,TLALPAN,3.7,38,139
09/02/2024,TLALPAN,3.6,39,142
10/02/2024,TLALPAN,3.7,39,143
11/02/2024,TLALPAN,3.6,32,115
12/02/2024,TLALPAN,3.8,36,135
13/02/2024,TLALPAN,3.9,36,139
14/02/2024,TLALPAN,3,40,118
15/02/2024,TLALPAN,3.8,43,164
16/02/2024,TLALPAN,3.5,41,144
17/02/2024,TLALPAN,3.7,40,148
18/02/2024,TLALPAN,3.7,37,136
19/02/2024,TLALPAN,3.8,40,153
20/02/2024,TLALPAN,3.7,42,154
21/02/2024,TLALPAN,3.4,51,173
22/02/2024,TLALPAN,3.7,42,155
23/02/2024,TLALPAN,3.4,32,110
24/02/2024,TLALPAN,3.8,32,123
25/02/2024,TLALPAN,4.7,24,113
26/02/2024,TLALPAN,3.7,40,149
27/02/2024,TLALPAN,3.7,37,136
28/02/2024,TLALPAN,3.5,40,141
29/02/2024,TLALPAN,3.3,44,147
01/03/2024,TLALPAN,3.435897436,39,134
02/03/2024,TLALPAN,3.486486486,37,129
03/03/2024,TLALPAN,3.621621622,37,134
04/03/2024,TLALPAN,3.315789474,38,126
05/03/2024,TLALPAN,3.357142857,42,141
01/11/2023,XOCHIMILCO,3,47,142
02/11/2023,XOCHIMILCO,3.1,44,136
03/11/2023,XOCHIMILCO,3.2,46,145
04/11/2023,XOCHIMILCO,3.3,44,145
05/11/2023,XOCHIMILCO,3.5,45,158
06/11/2023,XOCHIMILCO,3.2,49,157
07/11/2023,XOCHIMILCO,3.6,45,162
08/11/2023,XOCHIMILCO,3.6,46,167
09/11/2023,XOCHIMILCO,3.7,49,179
10/11/2023,XOCHIMILCO,3.4,49,169
11/11/2023,XOCHIMILCO,3.3,52,173
12/11/2023,XOCHIMILCO,3,50,151
13/11/2023,XOCHIMILCO,3.7,54,198
14/11/2023,XOCHIMILCO,3.1,54,167
15/11/2023,XOCHIMILCO,3.1,48,151
16/11/2023,XOCHIMILCO,3.9,48,188
17/11/2023,XOCHIMILCO,3.4,57,194
18/11/2023,XOCHIMILCO,3.2,54,173
19/11/2023,XOCHIMILCO,2.7,53,144
20/11/2023,XOCHIMILCO,3.3,50,166
21/11/2023,XOCHIMILCO,3.8,51,192
22/11/2023,XOCHIMILCO,3.3,55,179
23/11/2023,XOCHIMILCO,3.5,55,193
24/11/2023,XOCHIMILCO,3.5,55,190
25/11/2023,XOCHIMILCO,3.2,53,171
26/11/2023,XOCHIMILCO,3.2,53,167
27/11/2023,XOCHIMILCO,3.6,56,203
28/11/2023,XOCHIMILCO,3.3,56,184
29/11/2023,XOCHIMILCO,3.1,59,183
30/11/2023,XOCHIMILCO,3.3,58,189
01/12/2023,XOCHIMILCO,2.9,52,152
02/12/2023,XOCHIMILCO,3.7,49,179
03/12/2023,XOCHIMILCO,3.7,44,164
04/12/2023,XOCHIMILCO,3.4,58,196
05/12/2023,XOCHIMILCO,3.8,58,220
06/12/2023,XOCHIMILCO,3.3,58,189
07/12/2023,XOCHIMILCO,3.3,56,185
08/12/2023,XOCHIMILCO,3.1,52,163
09/12/2023,XOCHIMILCO,3.6,47,170
10/12/2023,XOCHIMILCO,3.2,46,149
11/12/2023,XOCHIMILCO,3.5,46,159
12/12/2023,XOCHIMILCO,3.4,53,181
13/12/2023,XOCHIMILCO,3.3,50,166
14/12/2023,XOCHIMILCO,3,57,172
15/12/2023,XOCHIMILCO,3,49,145
16/12/2023,XOCHIMILCO,3.2,46,149
17/12/2023,XOCHIMILCO,3.4,43,147
18/12/2023,XOCHIMILCO,3.6,46,164
19/12/2023,XOCHIMILCO,3.5,45,159
20/12/2023,XOCHIMILCO,3.7,45,166
21/12/2023,XOCHIMILCO,3.4,50,168
22/12/2023,XOCHIMILCO,3.7,48,177
23/12/2023,XOCHIMILCO,3.7,46,172
26/12/2023,XOCHIMILCO,2.94,50,147
27/12/2023,XOCHIMILCO,3.3,49,162
28/12/2023,XOCHIMILCO,3.3,42,138
29/12/2023,XOCHIMILCO,2.8,53,148
30/12/2023,XOCHIMILCO,2.5,52,132
02/01/2024,XOCHIMILCO,3.7,40,149
03/01/2024,XOCHIMILCO,3.1,45,138
04/01/2024,XOCHIMILCO,3.2,46,146
05/01/2024,XOCHIMILCO,3.5,42,146
06/01/2024,XOCHIMILCO,3.7,40,148
07/01/2024,XOCHIMILCO,4.1,34,138
08/01/2024,XOCHIMILCO,3.2,46,148
09/01/2024,XOCHIMILCO,3.8,48,180
10/01/2024,XOCHIMILCO,3.7,48,178
11/01/2024,XOCHIMILCO,3.9,48,187
12/01/2024,XOCHIMILCO,3.5,52,184
13/01/2024,XOCHIMILCO,3.6,45,162
14/01/2024,XOCHIMILCO,3.7,42,155
15/01/2024,XOCHIMILCO,3.6,44,158
16/01/2024,XOCHIMILCO,3.8,48,180
17/01/2024,XOCHIMILCO,3.6,47,170
18/01/2024,XOCHIMILCO,3.6,47,169
19/01/2024,XOCHIMILCO,3.4,44,151
20/01/2024,XOCHIMILCO,4.1,41,170
21/01/2024,XOCHIMILCO,4.4,39,172
22/01/2024,XOCHIMILCO,3.8,44,166
23/01/2024,XOCHIMILCO,3.7,44,161
24/01/2024,XOCHIMILCO,3.4,46,156
25/01/2024,XOCHIMILCO,3.9,52,204
26/01/2024,XOCHIMILCO,4,44,175
27/01/2024,XOCHIMILCO,3.2,51,164
28/01/2024,XOCHIMILCO,3.7,46,172
29/01/2024,XOCHIMILCO,2.8,49,138
30/01/2024,XOCHIMILCO,3.1,46,142
31/01/2024,XOCHIMILCO,3.7,48,176
01/02/2024,XOCHIMILCO,3.6,51,184
02/02/2024,XOCHIMILCO,3,50,151
