Fecha,Distrito,Tiempo Prom. Traslado (Sin 1 era),Tiempo sumT traslado sin1ra24,n traslados sin1ra
01/11/2023,CONDESA,00:29,5.640972222,279
02/11/2023,CONDESA,00:30,5.261111111,249
03/11/2023,CONDESA,00:25,4.552083333,260
04/11/2023,CONDESA,00:25,4.484027778,253
05/11/2023,CONDESA,00:26,3.2625,178
06/11/2023,CONDESA,00:26,5.951388889,324
07/11/2023,CONDESA,00:27,5.69375,296
08/11/2023,CONDESA,00:29,6.467361111,316
09/11/2023,CONDESA,00:33,5.738888889,248
10/11/2023,CONDESA,00:28,5.9625,300
11/11/2023,CONDESA,00:21,3.902083333,257
12/11/2023,CONDESA,00:22,2.29375,149
13/11/2023,CONDESA,00:28,5.322222222,267
14/11/2023,CONDESA,00:29,6.261111111,302
15/11/2023,CONDESA,00:33,7.534722222,327
16/11/2023,CONDESA,00:33,5.609027778,239
17/11/2023,CONDESA,00:31,5.878472222,270
18/11/2023,CONDESA,00:27,3.041666667,162
19/11/2023,CONDESA,00:26,1.923611111,105
20/11/2023,CONDESA,00:25,3.352083333,186
21/11/2023,CONDESA,00:27,5.554861111,290
22/11/2023,CONDESA,00:33,6.454166667,279
23/11/2023,CONDESA,00:26,5.525694444,303
24/11/2023,CONDESA,00:24,4.766666667,277
25/11/2023,CONDESA,00:29,4.621527778,225
26/11/2023,CONDESA,00:20,2.276388889,158
27/11/2023,CONDESA,00:29,6.019444444,291
28/11/2023,CONDESA,00:29,5.823611111,285
29/11/2023,CONDESA,00:30,5.147916667,245
30/11/2023,CONDESA,00:29,4.920138889,239
01/12/2023,CONDESA,00:30,6.224305556,291
02/12/2023,CONDESA,00:29,5.128472222,254
03/12/2023,CONDESA,00:22,2.694444444,170
04/12/2023,CONDESA,00:30,6.202777778,292
05/12/2023,CONDESA,00:29,6.385416667,308
06/12/2023,CONDESA,00:32,6.341666667,283
07/12/2023,CONDESA,00:39,6.968055556,257
08/12/2023,CONDESA,00:31,5.175694444,234
09/12/2023,CONDESA,00:26,3.906944444,209
10/12/2023,CONDESA,00:23,2.540277778,154
11/12/2023,CONDESA,00:31,5.495138889,249
12/12/2023,CONDESA,00:30,6.0125,288
13/12/2023,CONDESA,00:29,5.25625,258
14/12/2023,CONDESA,00:33,6.4125,273
15/12/2023,CONDESA,00:31,4.822916667,222
16/12/2023,CONDESA,00:25,3.209027778,179
17/12/2023,CONDESA,00:26,2.681944444,144
18/12/2023,CONDESA,00:29,4.809027778,235
19/12/2023,CONDESA,00:29,5.5,272
20/12/2023,CONDESA,00:28,5.357638889,272
21/12/2023,CONDESA,00:29,5.067361111,251
22/12/2023,CONDESA,00:26,4.297916667,231
23/12/2023,CONDESA,00:26,2.624305556,145
26/12/2023,CONDESA,00:25,4.284027778,244
27/12/2023,CONDESA,00:27,3.601388889,191
28/12/2023,CONDESA,00:27,3.415277778,182
29/12/2023,CONDESA,00:25,3.530555556,196
30/12/2023,CONDESA,00:27,2.499305556,130
02/01/2024,CONDESA,00:24,3.920138889,232
03/01/2024,CONDESA,00:27,4.574305556,240
04/01/2024,CONDESA,00:29,5.0125,248
05/01/2024,CONDESA,00:31,5.518055556,255
06/01/2024,CONDESA,00:26,3.756944444,202
07/01/2024,CONDESA,00:23,1.783333333,111
08/01/2024,CONDESA,00:29,6.101388889,295
09/01/2024,CONDESA,00:27,5.627083333,293
10/01/2024,CONDESA,00:29,5.265972222,260
11/01/2024,CONDESA,00:28,5.358333333,275
12/01/2024,CONDESA,00:36,6.011111111,239
13/01/2024,CONDESA,00:27,3.949305556,209
14/01/2024,CONDESA,00:28,2.295138889,118
15/01/2024,CONDESA,00:30,4.688888889,219
16/01/2024,CONDESA,00:32,5.208333333,230
17/01/2024,CONDESA,00:30,5.676111111,272
18/01/2024,CONDESA,00:33,6.202453704,268
19/01/2024,CONDESA,00:33,4.782743056,205
20/01/2024,CONDESA,00:29,3.559652778,175
21/01/2024,CONDESA,00:24,2.338009259,139
