DIRECCION,REGION,DISTRITO,MES,SEMANA,Sop_Ingresados,Soportes Atendidos -6h,Soportes Atendidos -4h,Soportes Atendidos -2h,año ok,Año
CENTRO,CDMX NORORIENTE,COACALCO,ene,52,77,72,70,55,2021,2022
CENTRO,CDMX NORORIENTE,HUEHUETOCA,ene,52,19,16,10,5,2021,2022
CENTRO,CDMX NORORIENTE,OJO DE AGUA,ene,52,11,9,8,6,2021,2022
CENTRO,CDMX NORORIENTE,TECAMAC,ene,52,58,48,43,34,2021,2022
CENTRO,CDMX NORORIENTE,TEXCOCO,ene,52,24,22,20,10,2021,2022
CENTRO,CDMX NORORIENTE,TULTEPEC,ene,52,96,59,46,21,2021,2022
CENTRO,CDMX NORPONIENTE,AZCAPOTZALCO,ene,52,55,37,35,21,2021,2022
CENTRO,CDMX NORPONIENTE,GUADALUPE TEPEYAC,ene,52,59,53,47,22,2021,2022
CENTRO,CDMX NORPONIENTE,NAUCALPAN,ene,52,20,17,14,6,2021,2022
CENTRO,CDMX NORPONIENTE,NICOLAS ROMERO,ene,52,44,43,39,31,2021,2022
CENTRO,CDMX NORPONIENTE,SATELITE,ene,52,49,45,43,27,2021,2022
CENTRO,CDMX NORPONIENTE,TLALNEPANTLA,ene,52,34,30,26,13,2021,2022
CENTRO,CDMX NORPONIENTE,TULTITLAN,ene,52,60,38,28,9,2021,2022
CENTRO,CDMX ORIENTE,AEROPUERTO,ene,52,56,51,42,22,2021,2022
CENTRO,CDMX ORIENTE,ARAGON,ene,52,80,79,71,43,2021,2022
CENTRO,CDMX ORIENTE,CHALCO,ene,52,8,8,7,4,2021,2022
CENTRO,CDMX ORIENTE,CONSTITUCION,ene,52,50,46,45,27,2021,2022
CENTRO,CDMX ORIENTE,ECATEPEC,ene,52,61,55,54,41,2021,2022
CENTRO,CDMX ORIENTE,IZTAPALAPA,ene,52,60,53,47,31,2021,2022
CENTRO,CDMX ORIENTE,LOS REYES,ene,52,35,35,34,26,2021,2022
CENTRO,CDMX ORIENTE,NEZA 1,ene,52,49,42,36,19,2021,2022
CENTRO,CDMX ORIENTE,NEZA 2,ene,52,68,64,54,42,2021,2022
CENTRO,CDMX PONIENTE CONDESA,CENTRO HISTORICO,ene,52,12,11,10,7,2021,2022
