DISTRITO,Fecha,Instalaciones,Activaciones_automaticas,Activaciones_manuales,PorcAM
ACAPULCO,2023-08-13,22,20,2,0.0909090909090909
ACAPULCO,2023-08-14,27,26,1,0.037037037037037
ACAPULCO,2023-08-15,23,23,0,0
ACAPULCO,2023-08-16,16,16,0,0
ACAPULCO,2023-08-17,33,31,2,0.0606060606060606
ACAPULCO,2023-08-18,21,19,2,0.0952380952380952
ACAPULCO,2023-08-19,23,23,0,0
ACAPULCO,2023-08-20,21,20,1,0.0476190476190476
ACAPULCO,2023-08-21,23,23,0,0
ACAPULCO,2023-08-22,30,30,0,0
ACAPULCO,2023-08-23,25,25,0,0
ACAPULCO,2023-08-24,23,23,0,0
ACAPULCO,2023-08-25,25,25,0,0
ACAPULCO,2023-08-26,29,29,0,0
ACAPULCO,2023-08-27,27,27,0,0
ACAPULCO,2023-08-28,22,22,0,0
ACAPULCO,2023-08-29,30,30,0,0
ACAPULCO,2023-08-30,23,23,0,0
ACAPULCO,2023-08-31,30,30,0,0
ACAPULCO,2023-09-01,20,20,0,0
ACAPULCO,2023-09-02,27,27,0,0
ACAPULCO,2023-09-03,21,21,0,0
ACAPULCO,2023-09-04,26,26,0,0
ACAPULCO,2023-09-05,22,22,0,0
ACAPULCO,2023-09-06,33,33,0,0
ACAPULCO,2023-09-07,26,26,0,0
ACAPULCO,2023-09-08,21,21,0,0
ACAPULCO,2023-09-09,28,28,0,0
ACAPULCO,2023-09-10,23,23,0,0
ACAPULCO,2023-09-11,25,25,0,0
ACAPULCO,2023-09-12,29,28,1,0.0344827586206897
ACAPULCO,2023-09-13,18,17,1,0.0555555555555556
ACAPULCO,2023-09-14,23,23,0,0
ACAPULCO,2023-09-15,31,31,0,0
ACAPULCO,2023-09-16,28,28,0,0
ACAPULCO,2023-09-17,25,25,0,0
ACAPULCO,2023-09-18,25,25,0,0
ACAPULCO,2023-09-19,23,23,0,0
ACAPULCO,2023-09-20,16,16,0,0
ACAPULCO,2023-09-21,15,15,0,0
ACAPULCO,2023-09-22,17,17,0,0
ACAPULCO,2023-09-23,21,21,0,0
ACAPULCO,2023-09-24,24,24,0,0
ACAPULCO,2023-09-25,30,30,0,0
ACAPULCO,2023-09-26,28,28,0,0
ACAPULCO,2023-09-27,22,22,0,0
ACAPULCO,2023-09-28,26,25,1,0.0384615384615385
ACAPULCO,2023-09-29,28,28,0,0
ACAPULCO,2023-09-30,36,36,0,0
ACAPULCO,2023-10-01,21,21,0,0
ACAPULCO,2023-10-02,21,21,0,0
ACAPULCO,2023-10-03,26,24,2,0.0769230769230769
ACAPULCO,2023-10-04,22,22,0,0
ACAPULCO,2023-10-05,21,21,0,0
ACAPULCO,2023-10-06,29,28,1,0.0344827586206897
ACAPULCO,2023-10-07,29,27,2,0.0689655172413793
ACAPULCO,2023-10-08,21,21,0,0
ACAPULCO,2023-10-09,11,11,0,0
ACAPULCO,2023-10-10,10,10,0,0
ACAPULCO,2023-10-11,17,17,0,0
ACAPULCO,2023-10-12,23,23,0,0
ACAPULCO,2023-10-13,18,16,2,0.111111111111111
ACAPULCO,2023-10-14,28,27,1,0.0357142857142857
ACAPULCO,2023-10-15,27,27,0,0
ACAPULCO,2023-10-16,36,35,1,0.0277777777777778
ACAPULCO,2023-10-17,20,20,0,0
ACAPULCO,2023-10-18,22,20,2,0.0909090909090909
ACAPULCO,2023-10-19,14,14,0,0
ACAPULCO,2023-10-20,19,19,0,0
ACAPULCO,2023-10-21,22,22,0,0
ACAPULCO,2023-10-22,24,23,1,0.0416666666666667
ACAPULCO,2023-10-23,26,23,3,0.115384615384615
ACAPULCO,2023-10-24,22,22,0,0
ACAPULCO,2023-12-05,9,9,0,0
ACAPULCO,2023-12-06,25,25,0,0
ACAPULCO,2023-12-07,19,19,0,0
ACAPULCO,2023-12-08,29,28,1,0.0344827586206897
ACAPULCO,2023-12-09,17,17,0,0
ACAPULCO,2023-12-10,16,15,1,0.0625
