Fecha,Soportes,CDD,Addon
2021-08-16,462,1921,2033
2021-08-17,489,1943,2070
2021-08-18,559,1807,2014
2021-08-19,537,1637,1892
2021-08-20,566,601,730
2021-08-21,594,610,748
2021-08-22,631,618,776
2021-08-23,654,648,797
2021-08-24,640,631,831
2021-08-25,593,644,876
2021-08-26,606,651,861
2021-08-27,695,659,876
2021-08-28,936,727,919
2021-08-30,496,828,1053
2021-08-31,471,928,1072
2021-09-01,466,1022,1202
2021-09-02,391,1064,1245
2021-09-03,410,1095,1314
2021-09-04,456,1190,1450
2021-09-05,486,1345,1647
2021-09-06,482,1480,1821
2021-09-07,495,1435,1831
2021-09-08,492,1388,1883
2021-09-09,487,1273,1845
2021-09-10,439,1172,1771
2021-09-11,497,1135,1848
2021-09-12,483,1109,1798
2021-09-13,472,1096,1840
2021-09-14,434,1023,1853
2021-09-15,377,989,1850
2021-09-16,326,960,1764
2021-09-17,247,989,1769
2021-09-18,248,992,1795
2021-09-19,763,3140,6556
2021-09-20,170,3027,6326
2021-09-21,411,2956,6019
2021-09-22,292,2870,5757
2021-09-23,227,2430,5308
2021-09-24,234,2417,5268
2021-09-25,267,2361,5281
2021-09-26,277,2317,5206
2021-09-27,365,2280,5215
2021-09-28,347,2105,4905
2021-09-29,325,1973,4615
2021-09-30,302,1845,4458
2021-10-01,333,2275,4628
2021-10-02,374,2447,4852
2021-10-03,363,2455,4965
2021-10-04,425,2491,5070
2021-10-05,349,2434,4750
2021-10-06,274,2135,4411
2021-10-07,246,1700,4004
2021-10-08,212,1525,3858
2021-10-09,215,1465,3888
2021-10-10,195,1338,4013
2021-10-11,254,1307,4012
2021-10-12,255,1121,3486
2021-10-13,255,1073,2672
2021-10-14,195,955,2421
2021-10-15,180,1010,2451
2021-10-16,174,1159,2796
2021-10-17,180,1205,2999
2021-10-18,253,1187,3955
2021-10-19,232,1075,3872
2021-10-20,198,977,3192
2021-10-21,187,866,2799
2021-10-22,146,956,2775
2021-10-23,172,994,2784
2021-10-24,159,908,2820
2021-10-25,179,937,2885
2021-10-26,163,876,2677
2021-10-27,139,833,2466
2021-10-28,131,745,2134
2021-10-29,131,926,2422
2021-10-30,121,1086,2461
2021-10-31,195,1063,2544
2021-11-01,222,1090,2662
2021-11-02,218,1000,2551
2021-11-03,193,905,2326
2021-11-04,133,733,1973
2021-11-05,128,750,1753
2021-11-06,99,733,1505
2021-11-07,149,668,1442
2021-11-08,179,644,1410
2021-11-09,141,554,1171
2021-11-10,132,495,1028
2021-11-11,106,485,972
2021-11-12,114,650,1142
2021-11-13,139,721,1257
2021-11-14,171,711,1342
2021-11-15,202,739,1521
2021-11-16,225,784,1725
2021-11-17,180,809,1821
2021-11-18,148,833,1976
2021-11-19,141,956,2394
2021-11-20,187,1052,2831
2021-11-21,197,1084,3222
2021-11-22,229,1140,3530
2021-11-23,176,1023,3198
2021-11-24,167,937,2823
2021-11-25,120,789,2390
2021-11-26,121,915,2187
2021-11-27,136,962,2099
2021-11-28,151,899,2040
2021-11-29,190,913,2042
2021-11-30,178,861,1943
2021-12-01,158,911,2039
2021-12-02,167,826,2034
2021-12-03,180,970,2305
2021-12-04,203,1064,2389
2021-12-05,231,1009,2414
2021-12-06,306,1051,2546
2021-12-07,278,898,2422
2021-12-08,252,806,2250
2021-12-09,212,742,2081
2021-12-10,212,843,2104
2021-12-11,227,828,2125
2021-12-12,218,729,2096
2021-12-13,226,779,2155
2021-12-14,191,686,1903
2021-12-15,171,640,1700
2021-12-16,148,587,1571
2021-12-17,169,711,1763
2021-12-18,204,776,1971
2021-12-19,230,834,2079
2021-12-20,353,849,2152
2021-12-21,327,745,2102
2021-12-22,301,635,2061
2021-12-23,258,526,1577
2021-12-24,262,570,1644
2021-12-25,248,652,1702
2021-12-26,286,771,1855
2021-12-27,313,733,1742
2021-12-28,203,495,1309
2021-12-29,133,359,882
2021-12-30,109,295,755
2021-12-31,145,378,765
2022-01-01,170,456,860
2022-01-02,265,628,1026
2022-01-03,330,759,1099
2022-01-04,340,604,897
2022-01-05,216,447,652
2022-01-06,210,407,631
2022-01-07,254,582,776
2022-01-08,288,679,925
2022-01-09,319,731,1052
2022-01-10,365,847,1211
2022-01-11,365,763,1230
2022-01-12,353,704,1229
2022-01-13,251,649,1155
2022-01-14,238,714,1148
2022-01-15,220,835,1245
2022-01-16,254,925,1357
2022-01-17,286,1047,1629
2022-01-18,289,1079,1750
2022-01-19,238,1014,1649
2022-01-20,231,875,1432
2022-01-21,213,974,1529
2022-01-22,229,1043,1581
2022-01-23,275,1019,1636
2022-01-24,255,1123,1791
2022-01-25,223,1015,1688
2022-01-26,217,1014,1603
2022-01-27,173,927,1473
2022-01-28,184,1099,1513
2022-01-29,179,1241,1513
2022-01-30,173,1271,1548
2022-01-31,212,1394,1790
2022-02-01,220,1368,1871
2022-02-02,201,1310,1723
2022-02-03,138,1116,1513
2022-02-04,154,1192,1488
2022-02-05,153,1180,1396
2022-02-06,136,1154,1417
2022-02-07,166,1208,1510
2022-02-08,186,1144,1411
2022-02-09,140,1024,1282
2022-02-10,100,885,1133
2022-02-11,114,909,1180
2022-02-12,111,969,1255
2022-02-13,107,976,1318
2022-02-14,157,1006,1399
2022-02-15,144,961,1300
2022-02-16,123,899,1180
2022-02-17,105,767,1032
2022-02-18,125,839,1091
2022-02-19,150,886,1158
2022-02-20,180,964,1234
2022-02-21,233,999,1376
2022-02-22,215,946,1240
2022-02-23,176,918,1189
2022-02-24,137,825,1067
2022-02-25,141,951,1108
2022-02-26,205,1085,1064
2022-02-27,194,1106,1098
2022-02-28,240,1155,1166
2022-03-01,211,1125,1146
2022-03-02,239,1070,1061
2022-03-03,229,883,973
2022-03-04,257,964,1035
2022-03-05,262,918,1028
2022-03-06,235,831,1080
2022-03-07,288,840,1112
2022-03-08,245,693,1006
2022-03-09,95,563,952
2022-03-10,201,467,856
2022-03-11,214,538,833
2022-03-12,229,508,786
2022-03-13,220,470,828
2022-03-14,219,469,853
2022-03-15,213,407,787
2022-03-16,203,347,729
2022-03-17,184,268,685
2022-03-18,203,415,772
2022-03-19,211,546,850
2022-03-20,213,527,934
2022-03-21,315,536,954
2022-03-22,281,535,962
2022-03-23,254,451,880
2022-03-24,228,381,811
2022-03-25,204,444,860
2022-03-26,188,527,937
2022-03-27,215,557,1019
2022-03-28,226,628,1063
2022-03-29,228,603,966
2022-03-30,198,561,870
2022-03-31,176,548,677
2022-04-01,177,701,726
2022-04-02,204,788,788
2022-04-03,224,706,891
2022-04-04,254,745,962
2022-04-05,243,644,898
2022-04-06,206,555,857
2022-04-07,175,478,781
2022-04-08,173,548,823
2022-04-09,139,572,868
2022-04-10,155,545,884
2022-04-11,199,619,996
2022-04-12,206,628,978
2022-04-13,165,576,1039
2022-04-14,169,484,991
2022-04-15,147,537,1149
2022-04-16,128,575,1309
2022-04-17,137,639,1448
2022-04-18,175,688,1664
2022-04-19,129,480,1280
2022-04-20,119,400,1182
2022-04-21,109,340,1040
2022-04-22,120,426,1230
2022-04-23,126,444,1396
