PLAZA,Fecha_Descarga,CDD,Addon,Soportes,Instalaciones,Recolecciones
ACAPULCO,2022-03-01,1,3,2,20,2
ACAPULCO,2022-03-02,1,4,4,16,NA
ACAPULCO,2022-03-03,4,4,2,19,1
ACAPULCO,2022-03-04,2,4,2,22,6
ACAPULCO,2022-03-05,3,4,5,25,4
ACAPULCO,2022-03-06,3,3,2,15,4
ACAPULCO,2022-03-07,3,2,NA,17,7
ACAPULCO,2022-03-08,2,4,2,6,5
ACAPULCO,2022-03-09,2,2,5,13,4
ACAPULCO,2022-03-10,1,1,4,11,5
ACAPULCO,2022-03-11,1,1,1,13,3
ACAPULCO,2022-03-12,NA,3,5,11,3
ACAPULCO,2022-03-13,NA,1,1,9,2
ACAPULCO,2022-03-14,NA,3,2,6,3
ACAPULCO,2022-03-15,1,1,2,14,4
ACAPULCO,2022-03-16,2,3,1,11,1
ACAPULCO,2022-03-17,2,3,NA,18,3
ACAPULCO,2022-03-18,3,5,6,18,4
ACAPULCO,2022-03-19,2,2,3,16,6
ACAPULCO,2022-03-20,1,2,3,14,4
ACAPULCO,2022-03-21,1,NA,3,4,3
ACAPULCO,2022-03-22,NA,2,2,8,2
ACAPULCO,2022-03-23,1,3,2,11,4
ACAPULCO,2022-03-24,2,3,3,16,1
ACAPULCO,2022-03-25,NA,7,1,16,7
ACAPULCO,2022-03-26,3,6,4,20,4
ACAPULCO,2022-03-27,2,3,1,9,3
ACAPULCO,2022-03-28,1,1,2,13,2
ACAPULCO,2022-03-29,NA,NA,2,13,NA
ACAPULCO,2022-03-30,1,4,2,16,3
ACAPULCO,2022-03-31,2,NA,2,23,4
ACAPULCO,2022-04-01,3,7,5,12,6
ACAPULCO,2022-04-02,6,4,23,14,7
ACAPULCO,2022-04-03,7,4,1,10,4
ACAPULCO,2022-04-04,5,2,3,12,2
ACAPULCO,2022-04-05,5,5,7,10,3
ACAPULCO,2022-04-06,2,1,6,11,8
ACAPULCO,2022-04-07,3,2,8,16,8
ACAPULCO,2022-04-08,3,2,3,17,4
ACAPULCO,2022-04-09,3,3,3,12,3
ACAPULCO,2022-04-10,4,7,3,6,5
ACAPULCO,2022-04-11,1,3,3,14,3
ACAPULCO,2022-04-12,3,2,5,20,4
ACAPULCO,2022-04-13,2,2,2,13,4
ACAPULCO,2022-04-14,3,2,9,9,2
ACAPULCO,2022-04-15,2,1,6,9,1
ACAPULCO,2022-04-16,2,3,2,10,2
ACAPULCO,2022-04-17,2,4,4,6,2
ACAPULCO,2022-04-18,4,4,3,10,1
ACAPULCO,2022-04-19,1,4,6,12,2
ACAPULCO,2022-04-20,1,1,1,9,3
ACAPULCO,2022-04-21,1,4,3,7,3
ACAPULCO,2022-04-22,2,3,1,9,5
ACAPULCO,2022-04-23,3,1,1,10,7
ACAPULCO,2022-04-24,3,3,1,7,6
ACAPULCO,2022-04-25,1,2,2,7,5
ACAPULCO,2022-04-26,2,2,2,7,5
ACAPULCO,2022-04-27,3,1,1,11,6
ACAPULCO,2022-04-28,3,6,1,12,6
ACAPULCO,2022-04-29,3,2,3,12,6
ACAPULCO,2022-04-30,2,4,5,10,8
ACAPULCO,2022-05-01,NA,6,2,8,8
ACAPULCO,2022-05-02,NA,2,2,6,7
ACAPULCO,2022-05-03,1,4,4,10,5
ACAPULCO,2022-05-04,1,2,8,12,4
ACAPULCO,2022-05-05,2,2,5,11,3
ACAPULCO,2022-05-06,6,4,2,16,4
ACAPULCO,2022-05-07,8,7,5,16,2
ACAPULCO,2022-05-08,6,1,5,7,3
ACAPULCO,2022-05-09,6,3,4,6,3
ACAPULCO,2022-05-10,4,1,3,9,2
ACAPULCO,2022-05-11,3,NA,3,13,4
ACAPULCO,2022-05-12,3,NA,3,13,4
ACAPULCO,2022-05-13,3,1,3,19,2
ACAPULCO,2022-05-14,4,2,6,14,5
ACAPULCO,2022-05-15,5,1,4,20,4
ACAPULCO,2022-05-16,4,1,4,22,3
ACAPULCO,2022-05-17,3,3,6,16,6
ACAPULCO,2022-05-18,2,2,3,16,4
ACAPULCO,2022-05-19,NA,3,3,8,6
ACAPULCO,2022-05-20,1,1,5,13,6
ACAPULCO,2022-05-21,2,1,2,14,6
ACAPULCO,2022-05-22,1,1,6,9,5
ACAPULCO,2022-05-23,2,NA,1,13,4
ACAPULCO,2022-05-24,3,2,4,3,4
ACAPULCO,2022-05-25,4,2,2,12,2
ACAPULCO,2022-05-26,3,3,2,7,3
ACAPULCO,2022-05-27,3,1,5,18,3
ACAPULCO,2022-05-28,3,4,8,10,2
ACAPULCO,2022-05-29,2,2,4,9,4
ACAPULCO,2022-05-30,1,3,3,15,3
ACAPULCO,2022-05-31,2,4,7,13,4
ACAPULCO,2022-06-01,2,1,5,9,5
ACAPULCO,2022-06-02,4,3,4,9,3
ACAPULCO,2022-06-03,3,1,3,10,2
ACAPULCO,2022-06-04,2,3,4,15,3
ACAPULCO,2022-06-05,3,1,3,11,3
ACAPULCO,2022-06-06,2,1,4,14,4
ACAPULCO,2022-06-07,3,4,4,14,1
ACAPULCO,2022-06-08,3,2,6,11,2
ACAPULCO,2022-06-09,2,3,8,7,2
ACAPULCO,2022-06-10,2,4,4,9,1
ACAPULCO,2022-06-11,3,2,2,12,4
ACAPULCO,2022-06-12,4,1,8,9,3
ACAPULCO,2022-06-13,4,NA,3,6,5
ACAPULCO,2022-06-14,2,1,2,9,NA
ACAPULCO,2022-06-15,3,4,6,9,2
ACAPULCO,2022-06-16,1,1,4,14,3
ACAPULCO,2022-06-17,3,2,7,10,2
ACAPULCO,2022-06-18,2,6,5,6,4
ACAPULCO,2022-06-19,3,3,5,7,2
ACAPULCO,2022-06-20,3,4,6,10,4
ACAPULCO,2022-06-21,NA,5,8,7,7
ACAPULCO,2022-06-22,2,4,11,16,5
ACAPULCO,2022-06-23,3,1,4,12,5
ACAPULCO,2022-06-24,3,8,9,16,3
ACAPULCO,2022-06-25,5,6,5,12,2
ACAPULCO,2022-06-26,4,5,6,16,5
ACAPULCO,2022-06-27,4,7,8,10,3
ACAPULCO,2022-06-28,6,5,7,13,2
ACAPULCO,2022-06-29,3,1,3,14,1
ACAPULCO,2022-06-30,2,3,5,21,3
ACAPULCO,2022-07-01,2,3,3,15,1
ACAPULCO,2022-07-02,3,3,2,12,5
ACAPULCO,2022-07-03,3,NA,6,6,NA
ACAPULCO,2022-07-04,3,NA,4,6,3
ACAPULCO,2022-07-05,1,2,8,8,5
ACAPULCO,2022-07-06,3,2,7,14,8
ACAPULCO,2022-07-07,2,3,5,11,2
ACAPULCO,2022-07-08,3,2,4,9,8
ACAPULCO,2022-07-09,4,1,3,7,7
ACAPULCO,2022-07-10,4,NA,4,9,5
ACAPULCO,2022-07-11,4,1,3,7,4
ACAPULCO,2022-07-12,3,1,5,16,3
ACAPULCO,2022-07-13,5,6,3,11,7
ACAPULCO,2022-07-14,2,5,9,11,7
ACAPULCO,2022-07-15,4,2,8,23,6
ACAPULCO,2022-07-16,3,2,4,21,4
ACAPULCO,2022-07-17,4,1,4,16,1
ACAPULCO,2022-07-18,4,2,6,12,3
ACAPULCO,2022-07-19,3,1,5,11,5
ACAPULCO,2022-07-20,1,3,5,17,4
ACAPULCO,2022-07-21,1,8,5,13,6
ACAPULCO,2022-07-22,NA,5,7,10,7
ACAPULCO,2022-07-23,NA,NA,4,13,4
ACAPULCO,2022-07-24,3,4,5,10,4
ACAPULCO,2022-07-25,2,4,3,7,8
ACAPULCO,2022-07-26,3,5,6,9,5
ACAPULCO,2022-07-27,3,4,3,13,9
ACAPULCO,2022-07-28,4,3,5,10,3
ACAPULCO,2022-07-29,2,3,4,21,4
ACAPULCO,2022-07-30,3,6,6,15,4
ACAPULCO,2022-07-31,6,2,9,16,2
ACAPULCO,2022-08-01,3,1,5,9,1
ACAPULCO,2022-08-02,3,2,9,14,3
ACAPULCO,2022-08-03,8,7,6,11,5
ACAPULCO,2022-08-04,7,10,7,8,5
ACAPULCO,2022-08-05,7,8,11,19,7
ACAPULCO,2022-08-06,6,4,7,17,7
ACAPULCO,2022-08-07,2,4,5,18,4
ACAPULCO,2022-08-08,3,3,3,15,5
ACAPULCO,2022-08-09,1,6,7,16,3
ACAPULCO,2022-08-10,5,7,2,13,4
ACAPULCO,2022-08-11,4,8,7,10,6
ACAPULCO,2022-08-12,8,6,6,39,8
ACAPULCO,2022-08-13,9,4,6,54,5
ACAPULCO,2022-08-14,6,3,3,41,5
ACAPULCO,2022-08-15,4,4,4,36,6
ACAPULCO,2022-08-16,6,4,2,21,2
ACAPULCO,2022-08-17,3,1,4,24,3
ACAPULCO,2022-08-18,6,3,6,23,7
ACAPULCO,2022-08-19,7,1,5,10,4
ACAPULCO,2022-08-20,5,1,7,16,3
ACAPULCO,2022-08-21,2,NA,3,9,6
ACAPULCO,2022-08-22,4,2,5,7,4
ACAPULCO,2022-08-23,4,1,3,19,1
ACAPULCO,2022-08-24,1,2,5,12,NA
ACAPULCO,2022-08-25,2,13,6,9,6
ACAPULCO,2022-08-26,2,6,5,14,4
ACAPULCO,2022-08-27,1,2,9,12,2
ACAPULCO,2022-08-28,3,3,4,8,4
ACAPULCO,2022-08-29,2,3,5,10,2
ACAPULCO,2022-08-30,4,1,6,10,3
ACAPULCO,2022-08-31,2,4,3,13,NA
ACAPULCO,2022-09-01,2,5,5,14,1
ACAPULCO,2022-09-02,6,2,11,11,3
ACAPULCO,2022-09-03,6,5,5,10,1
ACAPULCO,2022-09-04,3,9,5,3,3
ACAPULCO,2022-09-05,3,5,17,8,NA
ACAPULCO,2022-09-06,1,7,10,11,2
ACAPULCO,2022-09-07,NA,5,6,5,5
ACAPULCO,2022-09-08,1,3,7,5,2
ACAPULCO,2022-09-09,2,5,8,8,7
ACAPULCO,2022-09-10,2,5,6,7,6
ACAPULCO,2022-09-11,3,5,6,7,4
ACAPULCO,2022-09-12,1,4,2,13,4
ACAPULCO,2022-09-13,NA,4,3,7,5
ACAPULCO,2022-09-14,1,4,4,2,3
ACAPULCO,2022-09-15,1,5,7,8,3
ACAPULCO,2022-09-16,3,4,4,3,2
ACAPULCO,2022-09-17,3,3,8,10,3
ACAPULCO,2022-09-18,3,3,5,8,NA
ACAPULCO,2022-09-19,2,3,6,7,NA
ACAPULCO,2022-09-20,3,6,10,6,4
ACAPULCO,2022-09-21,3,6,6,9,5
ACAPULCO,2022-09-22,3,5,6,13,5
ACAPULCO,2022-09-23,1,8,5,9,2
ACAPULCO,2022-09-24,1,4,5,11,4
ACAPULCO,2022-09-25,2,7,4,12,4
ACAPULCO,2022-09-26,4,4,6,9,3
ACAPULCO,2022-09-27,5,3,7,15,2
ACAPULCO,2022-09-28,7,9,6,14,6
ACAPULCO,2022-09-29,6,5,3,19,4
ACAPULCO,2022-09-30,3,6,4,8,4
ACAPULCO,2022-10-01,1,9,9,11,6
ACAPULCO,2022-10-02,1,7,5,6,5
ACAPULCO,2022-10-03,2,6,3,10,6
ACAPULCO,2022-10-04,5,9,4,6,NA
ACAPULCO,2022-10-05,6,11,7,10,11
ACAPULCO,2022-10-06,6,4,4,11,4
ACAPULCO,2022-10-07,8,9,12,13,3
ACAPULCO,2022-10-08,7,13,12,16,6
ACAPULCO,2022-10-09,10,12,8,18,9
ACAPULCO,2022-10-10,7,2,3,20,4
ACAPULCO,2022-10-11,6,6,10,26,5
ACAPULCO,2022-10-12,4,6,11,37,7
ACAPULCO,2022-10-13,5,9,7,57,11
ACAPULCO,2022-10-14,11,15,9,66,10
ACAPULCO,2022-10-15,13,26,6,45,12
ACAPULCO,2022-10-16,10,30,15,56,17
ACAPULCO,2022-10-17,8,31,7,46,16
ACAPULCO,2022-10-18,8,54,14,50,21
ACAPULCO,2022-10-19,8,60,8,49,26
ACAPULCO,2022-10-20,6,55,6,62,32
ACAPULCO,2022-10-21,6,48,6,61,31
ACAPULCO,2022-10-22,5,44,8,48,38
ACAPULCO,2022-10-23,5,33,9,52,38
ACAPULCO,2022-10-24,7,25,10,41,34
ACAPULCO,2022-10-25,9,14,2,28,34
ACAPULCO,2022-10-26,7,9,4,29,24
ACAPULCO,2022-10-27,6,9,8,30,13
ACAPULCO,2022-10-28,8,7,6,36,17
ACAPULCO,2022-10-29,7,14,4,39,16
ACAPULCO,2022-10-30,9,11,6,46,17
ACAPULCO,2022-10-31,8,10,4,37,21
ACAPULCO,2022-11-01,5,15,5,30,20
ACAPULCO,2022-11-02,2,15,10,19,15
ACAPULCO,2022-11-03,1,6,6,20,12
ACAPULCO,2022-11-04,2,7,9,21,16
ACAPULCO,2022-11-05,4,10,5,16,21
ACAPULCO,2022-11-06,4,10,5,15,26
ACAPULCO,2022-11-07,NA,4,5,14,23
ACAPULCO,2022-11-08,1,7,8,13,23
ACAPULCO,2022-11-09,3,9,8,14,25
ACAPULCO,2022-11-10,4,7,10,16,20
ACAPULCO,2022-11-11,2,9,4,25,15
ACAPULCO,2022-11-12,6,10,4,24,13
ACAPULCO,2022-11-13,3,7,5,19,13
ACAPULCO,2022-11-14,4,5,4,20,13
ACAPULCO,2022-11-15,6,6,6,27,9
ACAPULCO,2022-11-16,6,7,8,25,17
ACAPULCO,2022-11-17,12,16,11,18,18
ACAPULCO,2022-11-18,8,23,12,14,22
ACAPULCO,2022-11-19,5,30,7,19,23
ACAPULCO,2022-11-20,9,23,14,23,23
ACAPULCO,2022-11-21,6,18,10,30,24
ACAPULCO,2022-11-22,9,24,6,34,24
ACAPULCO,2022-11-23,11,19,4,34,21
ACAPULCO,2022-11-24,13,21,12,25,19
ACAPULCO,2022-11-25,17,24,10,35,19
ACAPULCO,2022-11-26,10,23,12,37,24
ACAPULCO,2022-11-27,5,17,10,24,26
ACAPULCO,2022-11-28,3,11,7,24,18
ACAPULCO,2022-11-29,5,8,9,19,14
ACAPULCO,2022-11-30,7,10,6,23,14
ACAPULCO,2022-12-01,8,9,6,18,13
ACAPULCO,2022-12-02,5,21,11,18,13
ACAPULCO,2022-12-03,8,24,7,20,15
ACAPULCO,2022-12-04,11,21,8,29,16
ACAPULCO,2022-12-05,7,18,9,20,15
ACAPULCO,2022-12-06,3,19,8,16,13
ACAPULCO,2022-12-07,5,15,13,25,16
ACAPULCO,2022-12-08,4,11,8,26,18
ACAPULCO,2022-12-09,7,14,8,23,20
ACAPULCO,2022-12-10,5,17,8,25,17
ACAPULCO,2022-12-11,6,13,7,28,17
ACAPULCO,2022-12-12,5,9,7,15,14
ACAPULCO,2022-12-13,6,4,5,17,15
ACAPULCO,2022-12-14,6,3,7,21,14
ACAPULCO,2022-12-15,9,6,6,25,6
ACAPULCO,2022-12-16,7,6,7,24,10
ACAPULCO,2022-12-17,10,9,9,24,13
ACAPULCO,2022-12-18,9,11,7,21,13
ACAPULCO,2022-12-19,9,6,5,17,10
ACAPULCO,2022-12-20,4,9,10,28,12
ACAPULCO,2022-12-21,6,17,11,29,13
ACAPULCO,2022-12-22,6,19,9,18,14
ACAPULCO,2022-12-23,6,20,9,11,17
ACAPULCO,2022-12-24,6,14,3,18,22
ACAPULCO,2022-12-25,2,9,6,10,21
ACAPULCO,2022-12-26,3,10,6,7,18
ACAPULCO,2022-12-27,4,17,13,12,18
ACAPULCO,2022-12-28,5,25,6,27,25
ACAPULCO,2022-12-29,5,24,7,26,33
ACAPULCO,2022-12-30,6,27,3,24,37
ACAPULCO,2022-12-31,6,18,3,20,39
ACAPULCO,2023-01-01,8,17,6,8,35
ACAPULCO,2023-01-02,10,15,8,10,32
ACAPULCO,2023-01-03,10,18,3,21,32
ACAPULCO,2023-01-04,10,22,11,26,31
ACAPULCO,2023-01-05,8,23,8,34,35
ACAPULCO,2023-01-06,10,30,11,30,38
ACAPULCO,2023-01-07,10,30,15,24,46
ACAPULCO,2023-01-08,11,27,6,21,51
ACAPULCO,2023-01-09,8,22,5,19,48
ACAPULCO,2023-01-10,9,17,11,18,50
ACAPULCO,2023-01-11,14,19,8,25,49
ACAPULCO,2023-01-12,12,17,9,37,47
ACAPULCO,2023-01-13,13,24,11,25,51
ACAPULCO,2023-01-14,12,33,7,27,51
ACAPULCO,2023-01-15,14,31,8,15,55
ACAPULCO,2023-01-16,11,23,5,21,43
ACAPULCO,2023-01-17,9,32,4,22,45
ACAPULCO,2023-01-18,8,30,7,21,46
ACAPULCO,2023-01-19,5,29,14,28,44
ACAPULCO,2023-01-20,9,34,12,25,42
