REGION,Fecha_Descarga,CDD,Addon,Soportes,Instalaciones,Recolecciones
BAJIO,2024-07-18,126,201,326,191,553
BAJIO,2024-07-19,126,197,295,194,559
BAJIO,2024-07-20,120,165,315,220,564
BAJIO,2024-07-21,104,166,277,180,544
BAJIO,2024-07-22,103,168,283,148,530
BAJIO,2024-07-23,124,176,349,179,547
BAJIO,2024-07-24,119,183,331,207,594
BAJIO,2024-07-26,133,188,390,230,555
BAJIO,2024-07-27,143,204,376,269,573
BAJIO,2024-07-28,144,206,370,205,553
BAJIO,2024-07-29,155,204,341,165,547
BAJIO,2024-07-30,173,222,395,222,596
BAJIO,2024-07-31,194,246,428,224,625
BAJIO,2024-08-01,202,248,420,206,673
BAJIO,2024-08-02,197,248,434,195,672
BAJIO,2024-08-03,206,247,409,208,682
BAJIO,2024-08-04,198,251,368,188,638
BAJIO,2024-08-05,184,244,339,163,599
BAJIO,2024-08-06,195,238,369,203,601
BAJIO,2024-08-07,190,244,386,193,602
BAJIO,2024-08-08,173,246,357,190,557
BAJIO,2024-08-09,157,253,376,198,545
BAJIO,2024-08-10,131,259,386,239,537
BAJIO,2024-08-11,116,239,307,178,508
BAJIO,2024-08-12,120,242,279,150,496
BAJIO,2024-08-13,116,246,320,185,523
BAJIO,2024-08-14,122,255,318,200,561
BAJIO,2024-08-15,142,233,281,219,563
BAJIO,2024-08-16,153,230,294,204,593
BAJIO,2024-08-17,150,202,325,199,601
BAJIO,2024-08-18,139,179,262,153,544
BAJIO,2024-08-19,137,169,268,162,531
BAJIO,2024-08-20,131,165,298,162,532
BAJIO,2024-08-21,121,156,309,165,554
BAJIO,2024-08-22,119,148,262,173,546
BAJIO,2024-08-23,119,138,248,229,451
BAJIO,2024-08-24,111,120,216,197,419
BAJIO,2024-08-25,87,101,174,174,309
BAJIO,2024-08-26,84,98,177,170,289
BAJIO,2024-08-28,117,141,238,197,316
BAJIO,2024-08-29,103,129,241,222,262
BAJIO,2024-08-30,105,117,211,208,247
BAJIO,2024-08-31,113,106,217,247,235
BAJIO,2024-09-01,98,96,235,150,221
BAJIO,2024-09-02,104,100,216,151,213
BAJIO,2024-09-03,103,104,224,160,225
BAJIO,2024-09-04,102,94,242,167,240
BAJIO,2024-09-05,111,98,267,151,226
BAJIO,2024-09-06,108,124,240,188,232
BAJIO,2024-09-07,121,127,232,202,257
BAJIO,2024-09-08,91,105,212,142,221
BAJIO,2024-09-09,87,104,202,133,203
BAJIO,2024-09-10,94,116,182,169,210
BAJIO,2024-09-11,88,111,181,194,205
BAJIO,2024-09-12,102,99,145,213,188
BAJIO,2024-09-13,93,101,170,207,203
BAJIO,2024-09-14,97,108,193,281,229
BAJIO,2024-09-15,76,100,187,216,223
BAJIO,2024-09-16,79,92,185,204,206
BAJIO,2024-09-17,80,103,231,228,213
BAJIO,2024-09-18,90,111,257,218,243
BAJIO,2024-09-19,104,131,260,221,257
BAJIO,2024-09-20,89,128,253,227,264
BAJIO,2024-09-21,82,129,245,212,297
BAJIO,2024-09-22,86,124,228,185,278
BAJIO,2024-09-23,82,128,209,151,284
BAJIO,2024-09-24,100,133,224,176,305
BAJIO,2024-09-25,93,115,224,183,285
BAJIO,2024-09-26,89,120,202,214,259
BAJIO,2024-09-27,96,126,193,210,266
BAJIO,2024-09-28,120,136,181,230,261
BAJIO,2024-09-29,96,124,152,170,212
BAJIO,2024-10-01,99,98,207,185,218
BAJIO,2024-10-02,94,97,203,198,170
BAJIO,2024-10-03,100,102,198,186,193
BAJIO,2024-10-04,85,105,153,181,232
BAJIO,2024-10-05,80,93,151,171,170
BAJIO,2024-10-06,63,66,128,143,167
BAJIO,2024-10-07,63,63,98,104,136
BAJIO,2024-10-08,66,69,142,167,150
BAJIO,2024-10-09,57,70,168,146,185
BAJIO,2024-10-10,62,92,145,152,184
BAJIO,2024-10-11,66,77,139,132,198
BAJIO,2024-10-12,73,83,155,143,182
BAJIO,2024-10-13,73,69,146,114,188
BAJIO,2024-10-14,75,76,141,107,183
BAJIO,2024-10-15,65,87,205,139,181
BAJIO,2024-10-16,75,97,211,162,210
BAJIO,2024-10-17,69,114,178,142,240
BAJIO,2024-10-18,70,102,184,165,217
BAJIO,2024-10-19,89,94,167,166,202
BAJIO,2024-10-20,80,96,121,112,179
BAJIO,2024-10-21,64,84,116,80,137
BAJIO,2024-10-22,86,99,160,141,194
