DIRECCION,REGION,PLAZA,DISTRITO
BAJIO,BAJIO,CELAYA,CELAYA
BAJIO,BAJIO,GUANAJUATO,GUANAJUATO
BAJIO,BAJIO,IRAPUATO,IRAPUATO
BAJIO,BAJIO,LEON,LEON
CENTRO 1,METRO NOT 1,CIUDAD DE MEXICO,COACALCO
CENTRO 1,METRO NOT 1,CIUDAD DE MEXICO,CONSTITUCION
CENTRO 1,METRO NOT 1,CIUDAD DE MEXICO,ECATEPEC
CENTRO 1,METRO NOT 1,CIUDAD DE MEXICO,HUEHUETOCA
CENTRO 1,METRO NOT 1,TOLUCA,TOLUCA LERMA
CENTRO 1,METRO NOT 2,CIUDAD DE MEXICO,ARAGON
CENTRO 1,METRO NOT 2,CIUDAD DE MEXICO,CHALCO IXTAPALUCA
CENTRO 1,METRO NOT 2,CIUDAD DE MEXICO,TECAMAC
CENTRO 1,METRO NOT 2,TOLUCA,TOLUCA METEPEC
CENTRO 1,METRO NOT 3,CIUDAD DE MEXICO,AEROPUERTO
CENTRO 1,METRO NOT 3,CIUDAD DE MEXICO,IZTAPALAPA
CENTRO 1,METRO NOT 3,CIUDAD DE MEXICO,LOS REYES
CENTRO 1,METRO NOT 3,CIUDAD DE MEXICO,NEZA
CENTRO 1,METRO NOT 3,CIUDAD DE MEXICO,TEXCOCO
CENTRO 2,CDMX NORPONIENTE,CIUDAD DE MEXICO,AZCAPOTZALCO
CENTRO 2,CDMX NORPONIENTE,CIUDAD DE MEXICO,GUADALUPE TEPEYAC
CENTRO 2,CDMX NORPONIENTE,CIUDAD DE MEXICO,NAUCALPAN
CENTRO 2,CDMX NORPONIENTE,CIUDAD DE MEXICO,NICOLAS ROMERO
CENTRO 2,CDMX NORPONIENTE,CIUDAD DE MEXICO,TLALNEPANTLA
CENTRO 2,CDMX NORPONIENTE,CIUDAD DE MEXICO,TULTITLAN
CENTRO 2,CDMX NORPONIENTE,QUERETARO,QUERETARO
CENTRO 2,CDMX SURPONIENTE,CIUDAD DE MEXICO,CONDESA
CENTRO 2,CDMX SURPONIENTE,CIUDAD DE MEXICO,LAS AGUILAS
CENTRO 2,CDMX SURPONIENTE,CIUDAD DE MEXICO,PEDREGAL
CENTRO 2,CDMX SURPONIENTE,CIUDAD DE MEXICO,PORTALES
CENTRO 2,CDMX SURPONIENTE,CIUDAD DE MEXICO,SANTA FE
CENTRO 2,CDMX SURPONIENTE,CIUDAD DE MEXICO,TLALPAN
CENTRO 2,CDMX SURPONIENTE,CIUDAD DE MEXICO,XOCHIMILCO
NORESTE-FRONTERA,FRONTERA,CIUDAD VICTORIA,CIUDAD VICTORIA
NORESTE-FRONTERA,FRONTERA,MATAMOROS,MATAMOROS
NORESTE-FRONTERA,FRONTERA,NUEVO LAREDO,NUEVO LAREDO
NORESTE-FRONTERA,FRONTERA,PIEDRAS NEGRAS / MONCLOVA,PIEDRAS NEGRAS / MONCLOVA
NORESTE-FRONTERA,FRONTERA,REYNOSA,REYNOSA
NORESTE-FRONTERA,FRONTERA,TAMPICO,TAMPICO
NORESTE-FRONTERA,NORESTE 1,LA LAGUNA,LA LAGUNA
NORESTE-FRONTERA,NORESTE 1,MONTERREY,MTY CARRETERA NACIONAL
NORESTE-FRONTERA,NORESTE 1,MONTERREY,MTY CERRO DE LA SILLA
NORESTE-FRONTERA,NORESTE 1,MONTERREY,MTY GARCIA
NORESTE-FRONTERA,NORESTE 1,MONTERREY,MTY SIERRA MADRE
NORESTE-FRONTERA,NORESTE 2,MONTERREY,MTY AEROPUERTO
NORESTE-FRONTERA,NORESTE 2,MONTERREY,MTY SENDERO DIVISORIO
NORESTE-FRONTERA,NORESTE 2,SALTILLO,SALTILLO
NORESTE-FRONTERA,NORESTE 2,SAN LUIS POTOSI,SAN LUIS POTOSI
NORTE,NORTE BARRANCA,CHIHUAHUA,CHIHUAHUA
NORTE,NORTE BARRANCA,CIUDAD JUAREZ,CIUDAD JUAREZ
NORTE,NORTE LA BAJA,MEXICALI,MEXICALI
NORTE,NORTE LA BAJA,TIJUANA,TIJUANA PLAYAS
NORTE,NORTE LA BAJA,TIJUANA,TIJUANA RIO
