Tipo,DIRECCION,Mes,Clientes,Soportes,Reincidencias,RR,Reincidencias sobre soportes,RR sobre soportes,IDS,IDR,YEAR
NACIONAL,NACIONAL,ENERO,3557181,134015,37492,16145,27.98,12.05,3.77,1.05,2022
NACIONAL,NACIONAL,FEBRERO,3646445,127080,35459,14422,27.9,11.35,3.49,0.97,2022
NACIONAL,NACIONAL,MARZO,3732621,142112,39162,15249,27.56,10.73,3.81,1.05,2022
NACIONAL,NACIONAL,ABRIL,3807961,142212,37742,16881,26.54,11.87,3.73,0.99,2022
NACIONAL,NACIONAL,MAYO,3892082,154689,39506,16849,25.54,10.89,3.97,1.02,2022
NACIONAL,NACIONAL,JUNIO,4278221,164153,35838,19745,21.83,12.03,3.84,0.84,2022
NACIONAL,NACIONAL,JULIO,4278221,168502,44180,20380,26.22,12.09,3.94,1.03,2022
NACIONAL,NACIONAL,AGOSTO,4278221,172780,46913,21286,27.15,12.32,4.04,1.1,2022
NACIONAL,NACIONAL,SEPTIEMBRE,4278221,154572,40244,19250,26.04,12.45,3.61,0.94,2022
NACIONAL,NACIONAL,OCTUBRE,4278221,150032,38929,17594,25.95,11.73,3.51,0.91,2022
NACIONAL,NACIONAL,NOVIEMBRE,4278221,140639,35340,14883,25.13,10.58,3.29,0.83,2022
NACIONAL,NACIONAL,DICIEMBRE,4278221,130217,33156,14645,25.46,11.25,3.04,0.77,2022
NACIONAL,NACIONAL,ENERO,4304290,150250,29095,15887,19.36,10.57,3.49,0.68,2023
NACIONAL,NACIONAL,FEBRERO,4340688,137758,32028,15147,23.25,11,3.17,0.74,2023
NACIONAL,NACIONAL,MARZO,4399915,157747,39761,18554,25.21,11.76,3.59,0.9,2023
NACIONAL,NACIONAL,ABRIL,4440699,144559,38114,15715,26.37,10.87,3.26,0.86,2023
NACIONAL,NACIONAL,MAYO,4471262,161969,43535,19392,26.88,11.97,3.62,0.97,2023
NACIONAL,NACIONAL,JUNIO,4511329,157162,41584,18524,26.46,11.79,3.48,0.92,2023
DIRECCION,CENTRO,ENERO,1340621,43641,11020,4155,25.25,9.52,3.26,0.82,2022
DIRECCION,CENTRO,FEBRERO,1368763,42173,10895,3794,25.83,9,3.08,0.8,2022
DIRECCION,CENTRO,MARZO,1395333,46809,11915,4004,25.45,8.55,3.35,0.85,2022
DIRECCION,CENTRO,ABRIL,1420150,47143,11164,4429,23.68,9.39,3.32,0.79,2022
DIRECCION,CENTRO,MAYO,1445837,52566,12402,4859,23.59,9.24,3.64,0.86,2022
DIRECCION,CENTRO,JUNIO,1629068,54011,11015,5334,20.39,9.88,3.32,0.68,2022
DIRECCION,CENTRO,JULIO,1629068,56271,13401,5376,23.82,9.55,3.45,0.82,2022
DIRECCION,CENTRO,AGOSTO,1629068,54859,13402,5128,24.43,9.35,3.37,0.82,2022
DIRECCION,CENTRO,SEPTIEMBRE,1629068,47150,11186,4440,23.72,9.42,2.89,0.69,2022
DIRECCION,CENTRO,OCTUBRE,1629068,47502,10732,4141,22.59,8.72,2.92,0.66,2022
DIRECCION,CENTRO,NOVIEMBRE,1629068,46111,10135,3707,21.98,8.04,2.83,0.62,2022
DIRECCION,CENTRO,DICIEMBRE,1629068,42013,9963,3813,23.71,9.08,2.58,0.61,2022
DIRECCION,CENTRO,ENERO,1640259,51053,9069,4124,17.76,8.08,3.11,0.55,2023
DIRECCION,CENTRO,FEBRERO,1655351,43485,9676,3984,22.25,9.16,2.63,0.58,2023
DIRECCION,CENTRO,MARZO,1679832,50793,12125,4425,23.87,8.71,3.02,0.72,2023
DIRECCION,CENTRO,ABRIL,1698738,46720,11740,3848,25.13,8.24,2.75,0.69,2023
DIRECCION,CENTRO,MAYO,1711173,51640,13920,5187,26.96,10.04,3.02,0.81,2023
DIRECCION,CENTRO,JUNIO,1731880,50415,12987,4912,25.76,9.74,2.91,0.75,2023
DIRECCION,NORESTE-FRONTERA,MARZO,538178,22914,6564,3570,28.65,15.58,4.26,1.22,2023
DIRECCION,NORESTE-FRONTERA,ABRIL,547670,22380,6462,3258,28.87,14.56,4.09,1.18,2023
DIRECCION,NORESTE-FRONTERA,MAYO,557979,26761,7874,4556,29.42,17.02,4.8,1.41,2023
DIRECCION,NORESTE-FRONTERA,JUNIO,565308,24965,7441,4074,29.81,16.32,4.42,1.32,2023
DIRECCION,NORTE-NORESTE,ENERO,968116,42272,13619,6377,32.22,15.09,4.37,1.41,2022
DIRECCION,NORTE-NORESTE,FEBRERO,999744,39326,12504,5769,31.8,14.67,3.93,1.25,2022
DIRECCION,NORTE-NORESTE,MARZO,1031973,43878,13414,5872,30.57,13.38,4.25,1.3,2022
DIRECCION,NORTE-NORESTE,ABRIL,1059867,44281,13204,6731,29.82,15.2,4.18,1.25,2022
DIRECCION,NORTE-NORESTE,MAYO,1095115,47556,13393,6233,28.16,13.11,4.34,1.22,2022
DIRECCION,NORTE-NORESTE,JUNIO,1088357,46162,10546,6436,22.85,13.94,4.24,0.97,2022
DIRECCION,NORTE-NORESTE,JULIO,1088357,45473,13022,6465,28.64,14.22,4.18,1.2,2022
DIRECCION,NORTE-NORESTE,AGOSTO,1088357,49870,14336,7247,28.75,14.53,4.58,1.32,2022
DIRECCION,NORTE-NORESTE,SEPTIEMBRE,1088357,46966,12852,7114,27.36,15.15,4.32,1.18,2022
DIRECCION,NORTE-NORESTE,OCTUBRE,1088357,43139,12511,6407,29,14.85,3.96,1.15,2022
DIRECCION,NORTE-NORESTE,NOVIEMBRE,1088357,40535,11599,5586,28.61,13.78,3.72,1.07,2022
DIRECCION,NORTE-NORESTE,DICIEMBRE,1088357,38005,11057,5618,29.09,14.78,3.49,1.02,2022
DIRECCION,NORTE-NORESTE,ENERO,1095656,41130,9360,6127,22.76,14.9,3.75,0.85,2023
DIRECCION,NORTE-NORESTE,FEBRERO,1106682,42162,10595,6222,25.13,14.76,3.81,0.96,2023
DIRECCION,NORTE-PACIFICO,MARZO,586669,26651,7237,4696,27.15,17.62,4.54,1.23,2023
DIRECCION,NORTE-PACIFICO,ABRIL,590155,22009,6565,3474,29.83,15.78,3.73,1.11,2023
DIRECCION,NORTE-PACIFICO,MAYO,591289,23882,6807,3454,28.5,14.46,4.04,1.15,2023
DIRECCION,NORTE-PACIFICO,JUNIO,593782,23127,6291,3257,27.2,14.08,3.89,1.06,2023
DIRECCION,OCCIDENTE-BAJIO,ENERO,667588,31883,8798,4350,27.59,13.64,4.78,1.32,2022
DIRECCION,OCCIDENTE-BAJIO,FEBRERO,683533,30452,8306,3789,27.28,12.44,4.46,1.22,2022
DIRECCION,OCCIDENTE-BAJIO,MARZO,698838,33727,9271,4043,27.49,11.99,4.83,1.33,2022
DIRECCION,OCCIDENTE-BAJIO,ABRIL,712285,33868,9316,4465,27.51,13.18,4.75,1.31,2022
DIRECCION,OCCIDENTE-BAJIO,MAYO,725639,37041,9699,4480,26.18,12.09,5.1,1.34,2022
DIRECCION,OCCIDENTE-BAJIO,JUNIO,872558,45672,10862,6657,23.78,14.58,5.23,1.24,2022
DIRECCION,OCCIDENTE-BAJIO,JULIO,872558,48573,13736,7292,28.28,15.01,5.57,1.57,2022
DIRECCION,OCCIDENTE-BAJIO,AGOSTO,872558,48656,14720,7572,30.25,15.56,5.58,1.69,2022
DIRECCION,OCCIDENTE-BAJIO,SEPTIEMBRE,872558,41672,11909,6286,28.58,15.08,4.78,1.36,2022
DIRECCION,OCCIDENTE-BAJIO,OCTUBRE,872558,40470,11402,5762,28.17,14.24,4.64,1.31,2022
DIRECCION,OCCIDENTE-BAJIO,NOVIEMBRE,872558,35849,9386,4402,26.18,12.28,4.11,1.08,2022
DIRECCION,OCCIDENTE-BAJIO,DICIEMBRE,872558,32314,8037,3872,24.87,11.98,3.7,0.92,2022
DIRECCION,OCCIDENTE-BAJIO,ENERO,876274,36555,6788,4052,18.57,11.08,4.17,0.77,2023
DIRECCION,OCCIDENTE-BAJIO,FEBRERO,880741,32557,7410,3468,22.76,10.65,3.7,0.84,2023
DIRECCION,OCCIDENTE-BAJIO,MARZO,888339,36316,8619,4004,23.73,11.03,4.09,0.97,2023
