Temporalidad,Tipo,DIRECCION,Semana,Incumplimiento,Soporte,Instalación,Cambio de domicilio,Adicionales,PorcIncumTotAgendado
DIARIA,NACIONAL,NACIONAL,2022-10-09,1386,0,0,0,0,0.085613688306875
DIARIA,NACIONAL,NACIONAL,2022-10-10,1852,0,0,0,0,0.0943117584152365
DIARIA,NACIONAL,NACIONAL,2022-10-11,1783,0,0,0,0,0.0877979121528462
DIARIA,NACIONAL,NACIONAL,2022-10-12,1759,0,0,0,0,0.0855336737174812
DIARIA,NACIONAL,NACIONAL,2022-10-13,1712,0,0,0,0,0.0821497120921305
DIARIA,NACIONAL,NACIONAL,2022-10-14,1853,0,0,0,0,0.088423363237259
DIARIA,NACIONAL,NACIONAL,2022-10-15,2248,0,0,0,0,0.101020087179257
DIARIA,NACIONAL,NACIONAL,2022-10-16,1947,0,0,0,0,0.107634473989718
DIARIA,NACIONAL,NACIONAL,2022-10-17,2548,0,0,0,0,0.115770821027761
DIARIA,NACIONAL,NACIONAL,2022-10-18,2618,0,0,0,0,0.114293198288658
DIARIA,NACIONAL,NACIONAL,2022-10-19,2738,0,0,0,0,0.119521564518945
DIARIA,NACIONAL,NACIONAL,2022-10-20,2507,0,0,0,0,0.111239295380929
DIARIA,NACIONAL,NACIONAL,2022-10-21,2318,0,0,0,0,-
DIARIA,NACIONAL,NACIONAL,2022-10-22,2184,0,0,0,0,0.098582648731606
DIARIA,NACIONAL,NACIONAL,2022-10-23,1549,0,0,0,0,0.0869004207573632
DIARIA,NACIONAL,NACIONAL,2022-10-24,1977,0,0,0,0,0.0965237769749048
DIARIA,NACIONAL,NACIONAL,2022-10-25,1825,0,0,0,0,0.0875089906497243
DIARIA,NACIONAL,NACIONAL,2022-10-26,1836,0,0,0,0,0.0896090585192054
DIARIA,NACIONAL,NACIONAL,2022-10-27,1500,0,0,0,0,0.0746157289956723
DIARIA,NACIONAL,NACIONAL,2022-10-28,1565,0,0,0,0,0.0765955364134691
DIARIA,NACIONAL,NACIONAL,2022-10-29,1535,0,0,0,0,0.0739295862832924
DIARIA,NACIONAL,NACIONAL,2022-10-30,1223,0,0,0,0,0.0734666906950201
DIARIA,NACIONAL,NACIONAL,2022-10-31,1635,0,0,0,0,0.0784022249928071
DIARIA,NACIONAL,NACIONAL,2022-11-01,1619,0,0,0,0,0.0846270451100308
DIARIA,NACIONAL,NACIONAL,2022-11-02,1584,0,0,0,0,0.079136690647482
DIARIA,NACIONAL,NACIONAL,2022-11-03,1485,0,0,0,0,0.10421783984841
DIARIA,NACIONAL,NACIONAL,2022-11-04,1623,0,0,0,0,0.0807864609258337
DIARIA,NACIONAL,NACIONAL,2022-11-05,1607,0,0,0,0,0.0813670886075949
DIARIA,NACIONAL,NACIONAL,2022-11-06,1169,0,0,0,0,0.0736749227957396
DIARIA,NACIONAL,NACIONAL,2022-11-07,1478,0,0,0,0,0.0786421198254762
DIARIA,NACIONAL,NACIONAL,2022-11-08,1490,0,0,0,0,0.078957129987812
DIARIA,NACIONAL,NACIONAL,2022-11-09,1682,0,0,0,0,0.0849881259158203
DIARIA,NACIONAL,NACIONAL,2022-11-10,1625,0,0,0,0,0.079887911115481
DIARIA,NACIONAL,NACIONAL,2022-11-11,1791,0,0,0,0,0.0855668625483732
DIARIA,NACIONAL,NACIONAL,2022-11-12,1830,0,0,0,0,0.0863655670395016
DIARIA,NACIONAL,NACIONAL,2022-11-13,1357,0,0,0,0,0.0796268043656848
DIARIA,NACIONAL,NACIONAL,2022-11-14,1977,0,0,0,0,0.0977164887307236
DIARIA,NACIONAL,NACIONAL,2022-11-15,2113,0,0,0,0,0.0994259363824581
DIARIA,NACIONAL,NACIONAL,2022-11-16,2405,0,0,0,0,0.105353075170843
DIARIA,NACIONAL,NACIONAL,2022-11-17,2339,0,0,0,0,0.101032352814133
DIARIA,NACIONAL,NACIONAL,2022-11-18,2268,0,0,0,0,0.096914793607384
DIARIA,NACIONAL,NACIONAL,2022-11-19,2234,0,0,0,0,0.0941226037497367
DIARIA,NACIONAL,NACIONAL,2022-11-20,1532,0,0,0,0,0.0801800387292615
DIARIA,NACIONAL,NACIONAL,2022-11-21,1948,0,0,0,0,0.0923879535214608
DIARIA,NACIONAL,NACIONAL,2022-11-22,1974,0,0,0,0,0.0876632027711164
DIARIA,NACIONAL,NACIONAL,2022-11-23,1968,0,0,0,0,0.0873269435569755
DIARIA,NACIONAL,NACIONAL,2022-11-24,1813,0,0,0,0,0.082808075271764
DIARIA,NACIONAL,NACIONAL,2022-11-25,1804,0,0,0,0,0.111227572600037
DIARIA,NACIONAL,NACIONAL,2022-11-26,1707,0,0,0,0,0.0817372150928941
DIARIA,NACIONAL,NACIONAL,2022-11-27,1376,0,0,0,0,0.0840202723331502
DIARIA,NACIONAL,NACIONAL,2022-11-28,1669,0,0,0,0,0.0855678031274032
DIARIA,NACIONAL,NACIONAL,2022-11-29,1561,0,0,0,0,0.0776114950529508
DIARIA,NACIONAL,NACIONAL,2022-11-30,1733,0,0,0,0,0.0835543127139482
DIARIA,NACIONAL,NACIONAL,2022-12-01,1791,0,0,0,0,0.092874922215308
DIARIA,NACIONAL,NACIONAL,2022-12-02,1782,0,0,0,0,0.098474801061008
DIARIA,NACIONAL,NACIONAL,2022-12-03,2107,0,0,0,0,0.102455628495016
DIARIA,NACIONAL,NACIONAL,2022-12-04,1575,0,0,0,0,0.0970784023668639
DIARIA,NACIONAL,NACIONAL,2022-12-05,1901,0,0,0,0,0.099315605245285
DIARIA,NACIONAL,NACIONAL,2022-12-06,1898,0,0,0,0,0.0974232624987168
DIARIA,NACIONAL,NACIONAL,2022-12-07,1865,0,0,0,0,0.0964721704945169
DIARIA,NACIONAL,NACIONAL,2022-12-08,1749,0,0,0,0,0.0935194096888033
DIARIA,NACIONAL,NACIONAL,2022-12-09,1669,0,0,0,0,0.0891702730138377
DIARIA,NACIONAL,NACIONAL,2022-12-10,1601,0,0,0,0,0.0878608275710679
DIARIA,NACIONAL,NACIONAL,2022-12-11,1124,0,0,0,0,0.0773093060045395
DIARIA,NACIONAL,NACIONAL,2022-12-12,1532,0,0,0,0,0.0872934472934473
DIARIA,NACIONAL,NACIONAL,2022-12-13,1571,0,0,0,0,0.0858751503225101
DIARIA,NACIONAL,NACIONAL,2022-12-14,1410,0,0,0,0,0.0784161058895501
DIARIA,NACIONAL,NACIONAL,2022-12-15,1489,0,0,0,0,0.0831332700575066
DIARIA,NACIONAL,NACIONAL,2022-12-16,1656,0,0,0,0,0.0904127538763922
DIARIA,NACIONAL,NACIONAL,2022-12-17,1738,0,0,0,0,0.098845475743616
DIARIA,NACIONAL,NACIONAL,2022-12-18,1167,0,0,0,0,0.0841566308502199
DIARIA,NACIONAL,NACIONAL,2022-12-19,1497,0,0,0,0,0.0855233089579525
DIARIA,NACIONAL,NACIONAL,2022-12-20,1452,0,0,0,0,0.0813582114641116
DIARIA,NACIONAL,NACIONAL,2022-12-21,1504,0,0,0,0,0.0831031053155045
DIARIA,NACIONAL,NACIONAL,2022-12-22,1516,0,0,0,0,0.0846407235776897
DIARIA,NACIONAL,NACIONAL,2022-12-23,1573,0,0,0,0,0.0886346988223362
DIARIA,NACIONAL,NACIONAL,2022-12-24,1215,0,0,0,0,0.0846100278551532
DIARIA,NACIONAL,NACIONAL,2022-12-25,713,0,0,0,0,0.0964295374628077
DIARIA,NACIONAL,NACIONAL,2022-12-26,1551,0,0,0,0,0.0887401304497082
DIARIA,NACIONAL,NACIONAL,2022-12-27,1609,0,0,0,0,0.0863939003436426
DIARIA,NACIONAL,NACIONAL,2022-12-28,1756,0,0,0,0,0.0908009721288588
DIARIA,NACIONAL,NACIONAL,2022-12-29,1776,0,0,0,0,0.0913627244199804
DIARIA,NACIONAL,NACIONAL,2022-12-30,1874,0,0,0,0,0.0961518727552591
DIARIA,NACIONAL,NACIONAL,2022-12-31,1479,0,0,0,0,0.0945229117402697
DIARIA,NACIONAL,NACIONAL,2023-01-01,0,223,0,0,0,0.0280679672750157
DIARIA,NACIONAL,NACIONAL,2023-01-02,0,620,0,0,0,0.0336919900010868
DIARIA,NACIONAL,NACIONAL,2023-01-03,0,668,0,0,0,0.0326810176125245
DIARIA,NACIONAL,NACIONAL,2023-01-04,0,787,0,0,0,0.0368756442695155
DIARIA,NACIONAL,NACIONAL,2023-01-05,0,757,0,0,0,0.0366816882298784
DIARIA,NACIONAL,NACIONAL,2023-01-06,0,721,0,0,0,0.225031210986267
DIARIA,NACIONAL,NACIONAL,2023-01-07,0,599,0,0,0,0.0288786037990551
DIARIA,NACIONAL,NACIONAL,2023-01-08,0,434,0,0,0,0.0268381670892338
DIARIA,NACIONAL,NACIONAL,2023-01-09,0,580,0,0,0,0.029359655783346
DIARIA,NACIONAL,NACIONAL,2023-01-10,0,587,0,0,0,0.0285450301497763
DIARIA,NACIONAL,NACIONAL,2023-01-11,0,569,0,0,0,0.0281725008664653
DIARIA,NACIONAL,NACIONAL,2023-01-12,0,563,0,0,0,0.0280420381531105
DIARIA,NACIONAL,NACIONAL,2023-01-13,0,573,0,0,0,0.0284494315078695
DIARIA,NACIONAL,NACIONAL,2023-01-14,0,667,0,0,0,0.0328134992866631
DIARIA,NACIONAL,NACIONAL,2023-01-15,0,540,0,0,0,0.0328048113723346
DIARIA,NACIONAL,NACIONAL,2023-01-16,0,766,0,0,0,0.0370298752779658
DIARIA,NACIONAL,NACIONAL,2023-01-17,0,954,0,0,0,0.0440179024592811
DIARIA,NACIONAL,NACIONAL,2023-01-18,0,446,220,255,106,0.0475661155110926
DIARIA,NACIONAL,NACIONAL,2023-01-19,0,571,247,283,90,0.053750338478202
DIARIA,NACIONAL,NACIONAL,2023-01-20,0,527,299,309,104,0.0558158392647986
DIARIA,NACIONAL,NACIONAL,2023-01-21,0,495,220,318,83,0.049644128113879
DIARIA,NACIONAL,NACIONAL,2023-01-22,0,338,177,242,55,0.0461835968604254
DIARIA,NACIONAL,NACIONAL,2023-01-23,0,524,237,362,119,0.0564904939506959
DIARIA,NACIONAL,NACIONAL,2023-01-24,0,451,224,297,96,0.0491735346931258
