fecha_apertura,Cliente Reagenda,CONFIRMACION DE VISITA,INCUMPLIMIENTO FUERA DE TIEMPO,Splitter,% incump. sobre total agendado
16/08/2021,167,1408,699,70,14
17/08/2021,179,1508,726,80,14
18/08/2021,190,1611,855,85,15
19/08/2021,186,1603,759,81,14
20/08/2021,229,1683,838,79,15
21/08/2021,175,1657,756,61,14
22/08/2021,138,1368,698,44,16
23/08/2021,219,1731,872,68,16
24/08/2021,232,1629,877,71,15
25/08/2021,273,1927,971,71,17
26/08/2021,247,2068,957,69,18
27/08/2021,206,1941,982,72,17
28/08/2021,171,1965,881,56,17
29/08/2021,115,1387,698,42,15
30/08/2021,208,1869,1120,78,18
31/08/2021,238,2125,1010,70,18
01/09/2021,207,2332,1302,68,20
02/09/2021,242,2471,1402,65,21
03/09/2021,261,2474,1479,70,21
04/09/2021,216,2503,1331,58,20
05/09/2021,130,1756,1003,31,19
06/09/2021,234,2560,1660,67,22
07/09/2021,189,2378,1457,62,20
08/09/2021,262,2866,1697,64,23
09/09/2021,276,2666,1667,64,22
10/09/2021,248,2296,1580,57,20
11/09/2021,224,2167,1253,67,18
12/09/2021,111,1476,870,48,16
13/09/2021,226,1941,1434,87,19
14/09/2021,196,1870,1282,60,15
15/09/2021,150,1611,988,56,15
16/09/2021,258,2504,1144,86,27
17/09/2021,172,1482,892,53,14
18/09/2021,148,1404,742,72,13
19/09/2021,98,1103,583,42,12
20/09/2021,171,1366,849,69,13
21/09/2021,155,1439,833,90,13
22/09/2021,153,1384,722,59,12
23/09/2021,153,1321,748,63,12
24/09/2021,168,1296,653,69,11
25/09/2021,164,1272,656,43,11
26/09/2021,90,819,445,28,9
27/09/2021,137,1186,767,77,12
28/09/2021,139,1277,754,75,12
29/09/2021,135,1158,599,74,11
30/09/2021,141,1218,639,51,11
01/10/2021,174,1328,693,70,12
02/10/2021,156,1411,716,50,13
03/10/2021,107,1064,546,43,12
04/10/2021,162,1097,731,85,12
05/10/2021,141,1147,636,83,11
06/10/2021,166,1266,582,71,11
07/10/2021,157,1214,526,62,11
08/10/2021,185,1108,546,58,10
09/10/2021,122,1033,450,45,9
10/10/2021,86,778,296,27,8
11/10/2021,125,1011,474,86,10
12/10/2021,146,1158,440,60,10
13/10/2021,135,1143,481,57,10
14/10/2021,139,1079,418,56,9
15/10/2021,132,1047,423,55,9
16/10/2021,129,1170,427,38,10
17/10/2021,98,797,327,27,8
18/10/2021,133,1022,500,76,10
19/10/2021,163,1110,493,58,10
20/10/2021,162,1214,480,76,11
21/10/2021,155,1067,428,81,9
22/10/2021,177,1056,425,78,10
23/10/2021,124,1000,368,48,8
24/10/2021,83,648,258,32,7
25/10/2021,138,913,347,51,8
26/10/2021,157,1057,382,65,9
27/10/2021,167,1024,351,54,9
28/10/2021,156,1114,370,52,9
29/10/2021,178,1087,423,50,9
30/10/2021,176,1119,491,43,10
31/10/2021,112,853,348,39,9
01/11/2021,165,968,436,65,10
02/11/2021,129,892,381,45,9
03/11/2021,133,889,371,57,8
04/11/2021,157,821,330,69,8
05/11/2021,138,875,321,59,8
06/11/2021,123,806,301,42,7
07/11/2021,66,552,188,33,6
08/11/2021,142,698,282,68,7
09/11/2021,125,794,246,58,7
10/11/2021,132,862,287,56,7
11/11/2021,163,950,346,41,NA
12/11/2021,196,936,324,45,8
13/11/2021,173,1036,348,37,9
14/11/2021,105,753,297,27,8
15/11/2021,178,879,408,46,9
16/11/2021,190,1143,493,51,10
17/11/2021,195,1403,700,34,11
18/11/2021,234,1285,693,34,12
19/11/2021,195,1106,495,38,10
20/11/2021,152,1056,432,36,9
21/11/2021,93,746,298,22,8
22/11/2021,145,969,408,56,9
23/11/2021,181,944,352,28,8
24/11/2021,178,904,387,27,8
25/11/2021,150,1015,347,34,8
26/11/2021,153,892,339,43,NA
27/11/2021,138,972,339,29,8
28/11/2021,113,741,303,25,8
29/11/2021,147,947,450,37,8
30/11/2021,144,1159,511,40,9
01/12/2021,191,1280,521,46,NA
02/12/2021,176,1281,621,38,11
03/12/2021,197,1152,628,46,NA
04/12/2021,175,1129,527,48,10
05/12/2021,136,770,385,28,9
06/12/2021,175,1011,537,46,NA
07/12/2021,139,979,476,58,9
08/12/2021,172,948,455,49,8
09/12/2021,131,852,453,45,8
10/12/2021,156,833,416,38,8
11/12/2021,163,749,324,38,7
12/12/2021,89,501,232,28,6
13/12/2021,132,706,343,39,7
14/12/2021,138,674,332,43,7
15/12/2021,132,833,408,37,8
16/12/2021,139,874,336,46,NA
17/12/2021,123,989,420,30,9
18/12/2021,139,942,385,39,8
19/12/2021,96,629,289,28,7
20/12/2021,131,885,423,45,8
21/12/2021,142,974,411,41,NA
22/12/2021,163,1014,403,57,9
23/12/2021,140,1132,438,38,9
24/12/2021,112,720,226,22,8
25/12/2021,54,351,113,19,7
26/12/2021,81,436,140,24,6
27/12/2021,114,704,239,56,7
28/12/2021,148,759,283,22,7
29/12/2021,120,820,327,31,7
30/12/2021,123,902,392,34,8
31/12/2021,84,764,240,30,8
01/01/2022,53,476,216,6,11
02/01/2022,62,629,293,33,9
03/01/2022,124,1041,493,44,10
04/01/2022,150,1036,458,47,NA
05/01/2022,114,837,420,32,8
06/01/2022,149,1070,471,43,10
07/01/2022,147,1077,483,54,10
08/01/2022,164,1116,513,42,10
09/01/2022,100,875,411,23,9
10/01/2022,157,1013,623,62,NA
11/01/2022,156,1045,594,64,10
12/01/2022,181,1163,544,40,10
13/01/2022,155,1083,472,46,9
14/01/2022,163,1104,462,42,9
15/01/2022,141,1146,460,45,10
16/01/2022,93,944,429,26,NA
17/01/2022,148,1226,550,65,11
18/01/2022,181,1344,524,47,11
19/01/2022,154,1320,509,45,12
20/01/2022,154,1267,487,49,10
21/01/2022,148,1134,408,45,9
22/01/2022,164,1171,394,42,10
23/01/2022,98,798,271,30,8
24/01/2022,128,964,406,61,9
25/01/2022,131,1034,371,49,9
26/01/2022,156,1019,321,45,8
27/01/2022,168,994,282,49,8
28/01/2022,144,881,344,52,8
29/01/2022,113,1051,351,36,8
30/01/2022,102,772,318,25,8
31/01/2022,144,1202,505,50,10
01/02/2022,153,1076,431,50,9
02/02/2022,149,1139,479,43,10
03/02/2022,151,1003,369,47,9
04/02/2022,132,937,348,47,8
05/02/2022,104,789,302,38,7
06/02/2022,69,579,220,34,6
07/02/2022,122,720,318,52,7
08/02/2022,90,742,327,47,7
09/02/2022,154,869,295,35,7
10/02/2022,135,921,322,43,9
11/02/2022,146,881,300,32,8
12/02/2022,156,913,294,33,7
13/02/2022,101,587,243,26,7
14/02/2022,115,771,266,39,7
15/02/2022,141,760,266,38,7
16/02/2022,115,849,308,54,7
17/02/2022,152,944,304,54,8
18/02/2022,153,950,340,43,8
19/02/2022,151,995,326,39,8
20/02/2022,99,693,232,23,7
21/02/2022,146,876,351,59,8
22/02/2022,165,979,293,49,8
23/02/2022,135,1015,305,43,NA
24/02/2022,150,989,288,38,8
25/02/2022,168,907,340,44,8
26/02/2022,124,1078,303,46,8
27/02/2022,84,816,243,29,8
28/02/2022,150,1011,374,45,8
01/03/2022,129,1036,392,55,9
02/03/2022,161,1102,410,44,9
03/03/2022,135,1043,398,51,9
04/03/2022,157,905,343,64,8
05/03/2022,126,960,290,50,8
06/03/2022,79,605,205,34,7
07/03/2022,121,781,286,69,7
08/03/2022,109,719,227,49,6
09/03/2022,108,777,184,59,6
10/03/2022,126,667,173,47,6
11/03/2022,107,700,212,30,6
12/03/2022,98,677,202,38,6
13/03/2022,58,452,113,19,5
14/03/2022,94,595,187,43,6
15/03/2022,108,686,190,38,6
16/03/2022,124,714,211,41,6
17/03/2022,120,653,186,38,6
18/03/2022,110,714,195,39,6
19/03/2022,97,632,176,35,6
20/03/2022,67,414,105,28,5
21/03/2022,83,597,159,36,6
22/03/2022,95,588,190,35,5
23/03/2022,117,612,230,32,6
24/03/2022,116,619,207,34,NA
25/03/2022,132,618,220,44,6
26/03/2022,114,635,209,21,6
27/03/2022,68,472,151,20,5
28/03/2022,102,588,247,45,6
29/03/2022,104,652,201,41,NA
30/03/2022,127,732,222,31,6
31/03/2022,126,778,287,31,7
01/04/2022,127,817,287,31,7
02/04/2022,120,756,266,31,7
03/04/2022,68,400,134,14,5
04/04/2022,97,553,236,52,6
05/04/2022,105,521,180,44,5
06/04/2022,89,524,189,36,5
07/04/2022,123,677,221,42,NA
