DIRECCION,DISTRITO,Semana13,Semana12,Diferencia,Crecimiento,Id
NACIONAL,AGUASCALIENTES,102,29,73,2.51724137931035,Peores
NACIONAL,MTY SENDERO DIVISORIO,115,73,42,0.575342465753425,Peores
NACIONAL,CIUDAD JUAREZ,85,58,27,0.46551724137931,Peores
NACIONAL,IZTAPALAPA,34,9,25,2.77777777777778,Peores
NACIONAL,SAN LUIS POTOSI,56,31,25,0.806451612903226,Peores
NACIONAL,REYNOSA,105,83,22,0.265060240963855,Peores
NACIONAL,ARAGON,42,21,21,1,Peores
NACIONAL,CUERNAVACA,24,5,19,3.8,Peores
NACIONAL,IRAPUATO,22,4,18,4.5,Peores
NACIONAL,LOS REYES,24,7,17,2.42857142857143,Peores
NACIONAL,TAMPICO,20,3,17,5.66666666666667,Peores
NACIONAL,GDL COLOMOS,43,27,16,0.592592592592593,Peores
NACIONAL,TIJUANA RIO,169,153,16,0.104575163398693,Peores
NACIONAL,VERACRUZ,21,7,14,2,Peores
NACIONAL,LA LAGUNA,16,4,12,3,Peores
NACIONAL,MTY AEROPUERTO,44,55,-11,-0.2,Mejores
NACIONAL,CANCUN,62,74,-12,-0.162162162162162,Mejores
NACIONAL,GDL BARRANCA,15,29,-14,-0.482758620689655,Mejores
NACIONAL,XOCHIMILCO,27,41,-14,-0.341463414634146,Mejores
NACIONAL,GDL LAZARO CARDENAS,27,46,-19,-0.41304347826087,Mejores
NACIONAL,AZCAPOTZALCO,13,33,-20,-0.606060606060606,Mejores
NACIONAL,CHIHUAHUA,27,48,-21,-0.4375,Mejores
NACIONAL,MTY SIERRA MADRE,40,63,-23,-0.365079365079365,Mejores
NACIONAL,COACALCO,16,41,-25,-0.609756097560976,Mejores
NACIONAL,CONDESA,46,75,-29,-0.386666666666667,Mejores
NACIONAL,GDL CHAPULTEPEC,56,85,-29,-0.341176470588235,Mejores
NACIONAL,PIEDRAS NEGRAS / MONCLOVA,35,67,-32,-0.477611940298508,Mejores
NACIONAL,TULTITLAN,45,86,-41,-0.476744186046512,Mejores
CENTRO 1,IZTAPALAPA,34,9,25,2.77777777777778,Peores
CENTRO 1,ARAGON,42,21,21,1,Peores
CENTRO 1,LOS REYES,24,7,17,2.42857142857143,Peores
CENTRO 1,CONSTITUCION,18,8,10,1.25,Peores
CENTRO 1,TOLUCA METEPEC,19,12,7,0.583333333333333,Peores
CENTRO 2,SAN LUIS POTOSI,56,31,25,0.806451612903226,Peores
CENTRO 2,GUADALUPE TEPEYAC,26,16,10,0.625,Peores
CENTRO 2,NAUCALPAN,40,30,10,0.333333333333333,Peores
CENTRO 2,TLALNEPANTLA,16,7,9,1.28571428571429,Peores
CENTRO 2,PEDREGAL,12,5,7,1.4,Peores
NORESTE-FRONTERA,MTY SENDERO DIVISORIO,115,73,42,0.575342465753425,Peores
NORESTE-FRONTERA,REYNOSA,105,83,22,0.265060240963855,Peores
NORESTE-FRONTERA,TAMPICO,20,3,17,5.66666666666667,Peores
NORESTE-FRONTERA,LA LAGUNA,16,4,12,3,Peores
NORESTE-FRONTERA,SALTILLO,37,25,12,0.48,Peores
NORTE-PACIFICO,CIUDAD JUAREZ,85,58,27,0.46551724137931,Peores
NORTE-PACIFICO,TIJUANA RIO,169,153,16,0.104575163398693,Peores
NORTE-PACIFICO,MEXICALI,17,16,1,0.0625,Peores
NORTE-PACIFICO,TIJUANA PLAYAS,141,140,1,0.00714285714285712,Peores
NORTE-PACIFICO,CULIACAN,3,4,-1,-0.25,Peores
OCCIDENTE-BAJIO,AGUASCALIENTES,102,29,73,2.51724137931035,Peores
OCCIDENTE-BAJIO,IRAPUATO,22,4,18,4.5,Peores
OCCIDENTE-BAJIO,GDL COLOMOS,43,27,16,0.592592592592593,Peores
OCCIDENTE-BAJIO,MORELIA,11,3,8,2.66666666666667,Peores
OCCIDENTE-BAJIO,GDL LA PRIMAVERA,25,21,4,0.19047619047619,Peores
ORIENTE,CUERNAVACA,24,5,19,3.8,Peores
ORIENTE,VERACRUZ,21,7,14,2,Peores
ORIENTE,PUE LA NORIA,17,5,12,2.4,Peores
ORIENTE,XALAPA,6,4,2,0.5,Peores
ORIENTE,PUE ANGELOPOLIS,10,8,2,0.25,Peores
SURESTE,MERIDA,43,33,10,0.303030303030303,Peores
SURESTE,COATZA / MINA,7,13,-6,-0.461538461538462,Peores
SURESTE,TUXTLA,10,18,-8,-0.444444444444444,Peores
SURESTE,CANCUN,62,74,-12,-0.162162162162162,Peores
CENTRO 1,CHALCO IXTAPALUCA,11,8,3,0.375,Mejores
CENTRO 1,ECATEPEC,12,10,2,0.2,Mejores
CENTRO 1,TOLUCA LERMA,21,19,2,0.105263157894737,Mejores
CENTRO 1,HUEHUETOCA,8,7,1,0.142857142857143,Mejores
CENTRO 1,COACALCO,16,41,-25,-0.609756097560976,Mejores
