DIRECCION,DISTRITO,Instalaciones,Addon,CDE,CDD,Soportes,Recolecciones
BAJIO,LEON,74,25,12,38,100,47
BAJIO,IRAPUATO,50,11,4,15,57,24
BAJIO,GUANAJUATO,32,6,2,7,15,24
BAJIO,CELAYA,19,5,2,3,22,10
CENTRO 1,TOLUCA METEPEC,60,35,7,32,88,92
CENTRO 1,COACALCO,46,14,3,35,166,39
CENTRO 1,ARAGON,37,23,19,12,77,54
CENTRO 1,TOLUCA LERMA,37,12,6,26,60,61
CENTRO 1,ECATEPEC,53,16,4,23,63,40
CENTRO 1,HUEHUETOCA,46,6,4,33,54,26
CENTRO 1,TEXCOCO,30,7,7,18,39,59
CENTRO 1,CHALCO IXTAPALUCA,24,10,1,29,50,41
CENTRO 1,CONSTITUCION,25,13,8,22,43,36
CENTRO 1,LOS REYES,44,8,2,16,23,47
CENTRO 1,IZTAPALAPA,26,9,4,18,54,22
CENTRO 1,AEROPUERTO,26,10,4,20,30,36
CENTRO 1,TECAMAC,28,16,3,9,42,26
CENTRO 1,NEZA,18,8,3,14,21,19
CENTRO 2,CONDESA,60,34,16,42,101,60
CENTRO 2,TULTITLAN,53,22,12,24,73,119
CENTRO 2,XOCHIMILCO,145,15,9,30,52,38
CENTRO 2,PORTALES,69,13,10,30,101,60
CENTRO 2,SANTA FE,96,24,5,39,74,39
CENTRO 2,PEDREGAL,54,19,4,22,58,81
CENTRO 2,TLALPAN,30,40,15,30,58,54
CENTRO 2,LAS AGUILAS,47,10,9,20,64,49
CENTRO 2,TLALNEPANTLA,39,14,7,13,31,86
CENTRO 2,NAUCALPAN,50,21,6,31,56,25
CENTRO 2,QUERETARO,70,5,5,18,25,59
CENTRO 2,GUADALUPE TEPEYAC,42,13,6,12,60,42
CENTRO 2,AZCAPOTZALCO,40,14,10,28,41,33
CENTRO 2,NICOLAS ROMERO,38,19,8,23,37,35
NORESTE-FRONTERA,MTY CERRO DE LA SILLA,196,22,9,33,316,18
NORESTE-FRONTERA,MTY CARRETERA NACIONAL,102,18,7,15,180,22
NORESTE-FRONTERA,MTY SENDERO DIVISORIO,132,12,5,24,151,11
NORESTE-FRONTERA,MTY AEROPUERTO,126,11,1,28,142,23
NORESTE-FRONTERA,MTY SIERRA MADRE,94,16,9,13,125,25
NORESTE-FRONTERA,MTY GARCIA,91,20,9,27,96,32
NORESTE-FRONTERA,LA LAGUNA,87,13,2,13,76,33
NORESTE-FRONTERA,REYNOSA,55,9,1,23,95,25
NORESTE-FRONTERA,SAN LUIS POTOSI,58,10,12,34,53,39
NORESTE-FRONTERA,SALTILLO,44,9,3,14,77,27
NORESTE-FRONTERA,MATAMOROS,30,3,1,16,44,14
NORESTE-FRONTERA,PIEDRAS NEGRAS / MONCLOVA,41,4,3,8,39,11
NORESTE-FRONTERA,NUEVO LAREDO,21,1,0,7,54,5
NORESTE-FRONTERA,TAMPICO,37,4,1,6,20,6
NORESTE-FRONTERA,CIUDAD VICTORIA,19,3,1,6,18,8
NORTE,CIUDAD JUAREZ,133,23,21,30,225,60
NORTE,TIJUANA PLAYAS,67,21,127,49,126,50
NORTE,TIJUANA RIO,73,19,12,38,129,49
NORTE,CHIHUAHUA,39,16,4,19,65,44
NORTE,MEXICALI,38,5,1,10,73,19
OCCIDENTE,GDL COLOMOS,75,74,36,72,306,128
OCCIDENTE,GDL LAZARO CARDENAS,124,103,33,51,271,74
OCCIDENTE,GDL LA PRIMAVERA,36,166,17,37,148,93
OCCIDENTE,GDL CHAPULTEPEC,34,99,37,49,187,83
OCCIDENTE,GDL LOPEZ MATEOS,69,79,5,20,112,69
OCCIDENTE,GDL ESTADIO,35,57,14,23,108,40
OCCIDENTE,AGUASCALIENTES,50,29,17,18,67,68
OCCIDENTE,PUERTO VALLARTA,26,37,2,33,81,59
OCCIDENTE,TEPIC,18,28,90,5,39,26
OCCIDENTE,GDL BARRANCA,38,18,5,16,75,36
OCCIDENTE,MORELIA,38,11,4,8,22,23
OCCIDENTE,COLIMA / MANZANILLO,23,5,1,8,35,25
ORIENTE,PUE ANGELOPOLIS,80,25,12,46,52,65
ORIENTE,PUE LA NORIA,70,19,7,20,49,61
ORIENTE,CUERNAVACA,63,25,9,15,47,64
ORIENTE,PACHUCA,51,9,10,16,42,47
ORIENTE,VERACRUZ,61,9,3,8,60,29
ORIENTE,XALAPA,17,8,3,10,22,37
ORIENTE,CORDOBA / ORIZABA,20,3,3,9,17,28
ORIENTE,POZA RICA,11,3,0,2,7,15
ORIENTE,ACAPULCO,2,0,1,1,2,3
PACIFICO,CULIACAN,43,10,8,11,72,14
PACIFICO,CIUDAD OBREGON / NAVOJOA,37,8,0,8,53,14
PACIFICO,HERMOSILLO,24,11,3,9,44,14
PACIFICO,LOS MOCHIS,28,5,2,7,32,9
PACIFICO,MAZATLAN,17,3,1,9,18,12
SURESTE,TUXTLA,68,18,3,23,50,34
SURESTE,MERIDA,38,15,4,21,75,33
SURESTE,CANCUN,28,8,2,21,59,45
SURESTE,COATZA / MINA,25,5,2,8,36,25
SURESTE,VILLAHERMOSA,33,2,2,7,24,17
