DIRECCION,PLAZA,Instalaciones,Addon,CDD,Soportes,Recolecciones
CENTRO-SUR,CIUDAD DE MEXICO,2602,1308,834,730,1124
CENTRO-SUR,TOLUCA,228,101,57,112,135
CENTRO-SUR,PUEBLA,193,83,68,32,96
CENTRO-SUR,CANCUN,162,50,52,39,76
CENTRO-SUR,CUERNAVACA,97,40,40,14,97
CENTRO-SUR,TUXTLA,91,18,18,3,54
CENTRO-SUR,MERIDA,55,43,15,27,40
CENTRO-SUR,VERACRUZ,74,27,23,16,23
CENTRO-SUR,PACHUCA,57,23,16,17,26
CENTRO-SUR,XALAPA,58,19,20,7,17
NORTE-NORESTE,CIUDAD JUAREZ,892,519,280,204,730
NORTE-NORESTE,MONTERREY,823,134,137,306,98
NORTE-NORESTE,SAN LUIS POTOSI,494,81,51,102,412
NORTE-NORESTE,TIJUANA,435,222,127,215,98
NORTE-NORESTE,TAMPICO,513,11,5,16,2
NORTE-NORESTE,SALTILLO,181,33,36,38,21
NORTE-NORESTE,CHIHUAHUA,90,20,20,30,38
NORTE-NORESTE,CULIACAN,96,22,14,7,28
NORTE-NORESTE,TORREON,96,19,11,12,17
NORTE-NORESTE,MEXICALI,40,38,11,19,42
OCCIDENTE-BAJIO,GUADALAJARA,659,473,320,926,617
OCCIDENTE-BAJIO,LEON,194,40,32,26,39
OCCIDENTE-BAJIO,QUERETARO,115,32,27,17,85
OCCIDENTE-BAJIO,AGUASCALIENTES,60,31,14,17,34
OCCIDENTE-BAJIO,CELAYA,46,21,12,15,40
OCCIDENTE-BAJIO,TEPIC,133,NA,NA,NA,NA
OCCIDENTE-BAJIO,GUANAJUATO,66,17,11,6,12
OCCIDENTE-BAJIO,PUERTO VALLARTA,38,8,24,18,11
OCCIDENTE-BAJIO,IRAPUATO,43,14,11,9,12
OCCIDENTE-BAJIO,COLIMA / MANZANILLO,80,1,1,2,NA
