DISTRITO,Instalaciones,Addon,CDE,CDD,Soportes,Recolecciones
GDL COLOMOS,81,101,55,70,318,131
GDL LAZARO CARDENAS,93,130,25,56,188,169
GDL LA PRIMAVERA,58,174,46,64,137,120
GDL CHAPULTEPEC,34,49,16,49,91,162
GDL LOPEZ MATEOS,69,100,4,28,88,56
PEDREGAL,69,40,30,63,70,52
CONDESA,87,12,14,70,85,55
TIJUANA PLAYAS,58,12,87,49,75,41
MTY AEROPUERTO,143,10,4,27,113,10
TEPIC,29,22,73,8,83,77
TOLUCA METEPEC,79,24,4,30,70,84
AGUASCALIENTES,69,40,13,17,38,113
PUERTO VALLARTA,36,52,7,22,72,95
SANTA FE,99,15,8,44,69,49
CIUDAD JUAREZ,94,7,19,28,97,38
LEON,86,13,7,35,92,45
PORTALES,74,16,11,41,82,44
CIUDAD OBREGON / NAVOJOA,81,8,2,10,149,15
LAS AGUILAS,52,29,18,51,64,45
GDL ESTADIO,32,53,32,25,53,61
