DIRECCION,DISTRITO,Instalaciones,Addon,CDD,Soportes,Recolecciones
CENTRO,TOL LERMA SAN MATEO,120,65,29,60,70
CENTRO,CONDESA,112,56,63,46,39
CENTRO,TULTEPEC,67,28,19,62,43
CENTRO,CONSTITUCION,67,53,18,43,38
CENTRO,XOCHIMILCO,104,42,15,36,18
CENTRO,TOL SAN CARLOS,52,43,27,45,37
CENTRO,SANTA FE,89,29,36,17,29
CENTRO,IZTAPALAPA,64,36,20,31,46
CENTRO,ECATEPEC,92,43,12,15,28
CENTRO,AZCAPOTZALCO,74,31,33,30,10
CENTRO,TULTITLAN,52,23,27,28,45
CENTRO,GUADALUPE TEPEYAC,60,38,30,24,21
CENTRO,ARAGON,65,32,17,32,23
CENTRO,COACALCO,53,19,17,32,43
CENTRO,PEDREGAL,42,27,30,27,35
CENTRO,NEZA 2,61,31,19,17,26
CENTRO,NICOLAS ROMERO,55,19,17,21,42
CENTRO,TLALPAN,49,28,31,27,15
CENTRO,TOL METEPEC,109,8,5,16,11
CENTRO,OJO DE AGUA,113,6,5,5,11
NORTE-NORESTE,PIEDRAS NEGRAS / MONCLOVA,826,5,0,4,0
NORTE-NORESTE,REYNOSA,744,6,3,13,1
NORTE-NORESTE,JUAREZ NORTE,164,84,43,227,35
NORTE-NORESTE,TIJ TECATE,275,63,81,114,18
NORTE-NORESTE,MTY CARRETERA NACIONAL,204,95,32,43,29
NORTE-NORESTE,MTY MITRAS,100,54,46,88,33
NORTE-NORESTE,SAN LUIS POTOSI ORIENTE,96,43,38,83,58
NORTE-NORESTE,TIJ PLAYAS,152,39,38,19,42
NORTE-NORESTE,MTY SANTA LUCIA,83,51,17,80,34
NORTE-NORESTE,JUAREZ SUR,149,18,9,39,36
NORTE-NORESTE,SALTILLO,86,64,21,51,21
NORTE-NORESTE,TIJ FRONTERA,74,48,29,60,22
NORTE-NORESTE,MTY GARCIA,127,40,10,35,18
NORTE-NORESTE,MATAMOROS,215,1,0,0,0
NORTE-NORESTE,MTY SIERRA MADRE,64,35,20,65,27
NORTE-NORESTE,MTY SENDERO DIVISORIO,75,24,18,43,18
NORTE-NORESTE,TAMPICO,125,11,12,10,15
NORTE-NORESTE,SAN LUIS POTOSI PONIENTE,66,28,14,29,23
NORTE-NORESTE,TIJ RIO,52,29,18,46,11
NORTE-NORESTE,LA LAGUNA TORREON,65,27,15,18,15
OCCIDENTE-BAJIO,CERRO GORDO,126,71,28,41,103
OCCIDENTE-BAJIO,GDL LOPEZ MATEOS,71,48,38,119,63
OCCIDENTE-BAJIO,GDL COLOMOS,102,36,38,57,38
OCCIDENTE-BAJIO,GDL LAZARO CARDENAS,73,19,18,90,38
OCCIDENTE-BAJIO,GDL ESTADIO,62,20,25,41,56
OCCIDENTE-BAJIO,GDL CHAPULTEPEC,33,40,31,54,15
OCCIDENTE-BAJIO,AGUASCALIENTES,47,32,15,27,41
OCCIDENTE-BAJIO,GDL LA PRIMAVERA,53,24,23,40,17
OCCIDENTE-BAJIO,DELTA,57,21,9,40,21
OCCIDENTE-BAJIO,QUERETARO CORREGIDORA,74,15,22,10,27
OCCIDENTE-BAJIO,GDL BARRANCA,51,13,15,23,40
OCCIDENTE-BAJIO,GDL EL TAPATIO,86,9,6,20,14
OCCIDENTE-BAJIO,GUANAJUATO,61,9,14,6,14
OCCIDENTE-BAJIO,QUERETARO SANTIAGO,47,7,9,24,13
OCCIDENTE-BAJIO,COLIMA / MANZANILLO,85,4,2,2,3
OCCIDENTE-BAJIO,CELAYA,37,15,9,7,13
OCCIDENTE-BAJIO,IRAPUATO,41,9,9,8,6
OCCIDENTE-BAJIO,MORELIA,24,13,10,6,16
OCCIDENTE-BAJIO,PUERTO VALLARTA,25,10,9,13,12
OCCIDENTE-BAJIO,TEPIC,56,1,5,4,1
ORIENTE-SUR,CANCUN,162,57,47,67,66
ORIENTE-SUR,TUXTLA,133,31,28,40,32
ORIENTE-SUR,PUE ANGELOPOLIS,82,26,30,16,33
ORIENTE-SUR,POZA RICA,154,6,6,5,4
ORIENTE-SUR,VERACRUZ,62,17,13,19,42
ORIENTE-SUR,PACHUCA,55,28,14,18,33
ORIENTE-SUR,PUE LA NORIA,47,21,20,27,20
ORIENTE-SUR,XALAPA,50,19,18,7,38
ORIENTE-SUR,CUERNAVACA BUGAMBILIAS,55,14,9,11,23
ORIENTE-SUR,CUERNAVACA DE CORTEZ,31,20,19,3,24
ORIENTE-SUR,PUE LORETO,37,18,17,8,16
ORIENTE-SUR,MERIDA SUR,20,19,8,10,30
ORIENTE-SUR,COATZA / MINA,23,19,8,5,27
ORIENTE-SUR,CORDOBA / ORIZABA,34,16,9,6,12
ORIENTE-SUR,VILLAHERMOSA,43,7,9,2,8
ORIENTE-SUR,MERIDA NORTE,30,15,4,8,3
ORIENTE-SUR,ACAPULCO,18,1,3,5,3
